UNIT,STATION,INDEX
R284,CLINTON-WASH AV,240
R317,CLINTON-WASH AV,241
R184,CORTELYOU ROAD,242
R305,CORTLANDT ST,243
R088,CORTLANDT ST,244
R346,COURT SQ,245
R359,COURT SQ,246
R359,COURT SQ-23 ST,247
R437,CRESCENT ST,248
R062,CROWN HTS-UTICA,249
R447,CYPRESS AVE,250
R003,CYPRESS HILLS,251
R099,DEKALB AVE,252
R236,DEKALB AVE,253
R142,DELANCEY ST,254
R095,DITMARS BL-31 S,255
R420,DITMAS AVE,256
R036,DYCKMAN ST,257
R185,DYCKMAN-200 ST,258
R431,DYRE AVE,259
R448,E 143 ST,260
R449,E 149 ST,261
R222,E 177 ST-PARKCH,262
R388,E 180 ST,263
R387,E TREMONT AVE,264
R376,EAST 105 ST,265
R257,EAST BROADWAY,266
R060,EASTERN PKWY,267
R162,ELDER AVE,268
R004,ELDERTS LANE,269
R218,ELMHURST AVE,270
R142,ESSEX ST,271
R200,EUCLID AVE,272
R285,FAR ROCKAWAY,273
R110,FLATBUSH AVE,274
R377,FLUSHING AVE,275
R316,FLUSHING AVE,276
R112,FORDHAM ROAD,277
R119,FORDHAM ROAD,278
R403,FOREST AVE,279
R141,FOREST HILLS-71,280
R005,FOREST PARKWAY,281
R123,FRANKLIN AVE,282
R297,FRANKLIN AVE,283
R343,FRANKLIN ST,284
R409,FREEMAN ST,285
R404,FRESH POND ROAD,286
R391,FT HAMILTON PKY,287
R369,FT HAMILTON PKY,288
R289,FT HAMILTON PKY,289
R318,FULTON ST,290
R028,FULTON ST,291
R380,GATES AVE,292
R249,GRAHAM AVE,293
R059,GRAND ARMY PLAZ,294
R254,GRAND AV-NEWTON,295
R250,GRAND ST,296
R240,GRAND ST,297
R093,GRAND-30 AVE,298
R382,GRANT AVE,299
R239,GREENPOINT AVE,300
R355,GREENWOOD-111,301
R226,GUN HILL ROAD,302
R364,GUN HILL ROAD,303
R381,HALSEY ST,304
R266,HALSEY ST,305
R352,HEWES ST,306
R252,HIGH ST,307
R290,HOUSTON ST,308
R414,HOWARD BCH-JFK,309
R456,HOYT ST,310
R225,HOYT ST,311
R094,HOYT ST-ASTORIA,312
R217,HOYT/SCHERMER,313
R383,HUDSON-80 ST,314
R134,HUNTERS PT AVE,315
R146,HUNTS POINT AVE,316
R407,INTERVALE-163,317
R173,INWOOD-207 ST,318
R405,JACKSON AVE,319
R025,JAMAICA CENTER,320
R019,JAMAICA-179 ST,321
R342,JAMAICA-VAN WYC,322
R089,JAY ST-METROTEC,323
R127,JAY ST-METROTEC,324
R279,JEFFERSON ST,325
R535,JFK HOWARD BCH,326
R536,JFK JAMAICA CT1,327
R097,JUNCTION BLVD,328
R066,JUNIUS ST,329
R130,KINGS HIGHWAY,330
R395,KINGS HIGHWAY,331
R211,KINGS HIGHWAY,332
R155,KINGSBRIDGE RD,333
R161,KINGSBRIDGE RD,334
R124,KINGSTON AVE,335
R199,KINGSTON-THROOP,336
R413,KNICKERBOCKER,337
R379,KOSCIUSZKO ST,338
R283,LAFAYETTE AVE,339
R356,LEFFERTS BLVD,340
R051,LEXINGTON AVE,341
R319,LEXINGTON AVE,342
R017,LEXINGTON-53 ST,343
R440,LIBERTY AVE,344
R350,LIVONIA AVE,345
R450,LONGWOOD AVE,346
R353,LORIMER ST,347
R268,LORIMER ST,348
R055,MAIN ST,349
R039,MARBLE HILL-225,350
R460,MARCY AVE,351
R100,METROPOLITAN AV,352
R268,METROPOLITAN AV,353
R328,METS-WILLETS PT,354
R427,MIDDLETOWN ROAD,355
R265,MONTROSE AVE,356
R294,MORGAN AVE,357
R329,MORRIS PARK,358
R120,MORRISON AVE,359
R133,MOSHOLU PARKWAY,360
R308,MT EDEN AVE,361
R087,MURRAY ST-B'WAY,362
R378,MYRTLE AVE,363
R137,MYRTLE AVE,364
R286,MYRTLE-WILLOUGH,365
R256,NASSAU AV,366
R230,NECK ROAD,367
R426,NEPTUNE AVE,368
R444,NEREID AVE,369
R056,NEVINS ST,370
R375,NEW LOTS AVE,371
R069,NEW LOTS AVE,372
R398,NEW UTRECHT AVE,373
R149,NEWKIRK AVE,374
R135,NEWKIRK AVE,375
R298,NORTHERN BLVD,376
R436,NORWOOD AVE,377
R157,NORWOOD-205 ST,378
R061,NOSTRAND AVE,379
R198,NOSTRAND AVE,380
R264,OCEAN PARKWAY,381
R354,OXFORD-104 ST,382
R057,PACIFIC ST,383
R411,PARK PLACE,384
R029,PARK PLACE,385
R148,PARKSIDE AVE,386
R114,PARSONS BLVD,387
R429,PELHAM BAY PARK,388
R361,PELHAM PARKWAY,389
R430,PELHAM PARKWAY,390
R067,PENNSYLVANIA AV,391
R277,PRESIDENT ST,392
R086,PRINCE ST-B'WAY,393
R246,PROSPECT AVE,394
R406,PROSPECT AVE,395
R196,PROSPECT PARK,396
R140,QUEENS PLAZA,397
R121,QUEENSBORO PLZ,398
R438,RALPH AVE,399
R227,RECTOR ST,400
R304,RECTOR ST,401
R468,RIT-MANHATTAN,402
R469,RIT-ROOSEVELT,403
R065,ROCKAWAY AVE,404
R439,ROCKAWAY AVE,405
R385,ROCKAWAY BLVD,406
R419,ROCKAWAY PK 116,407
R152,ROCKAWAY PKY,408
R018,ROOSEVELT AVE,409
R259,ROOSEVELT IS,410
R064,SARATOGA AVE,411
R402,SENECA AVE,412
R136,SHEEPSHEAD BAY,413
R442,SHEPHERD AVE,414
R408,SIMPSON ST,415
R270,SMITH-9 ST,416
R001,SOUTH FERRY,417
R322,SPRING ST,418
R282,SPRING ST,419
R245,ST LAWRENCE AVE,420
R238,STEINWAY ST,421
R209,STERLING ST,422
R151,STILLWELL AVE,423
R024,SUTPHIN BLVD,424
R128,SUTPHIN BLVD,425
R063,SUTTER AVE,426
R349,SUTTER AVE,427
R154,TREMONT AVE,428
R231,UNION ST,429
R158,UNION TPK-KEW G,430
R153,UTICA AVE,431
R360,VAN ALSTON-21ST,432
R068,VAN SICLEN AVE,433
R441,VAN SICLEN AVE,434
R434,VAN SICLEN AVE,435
R255,VAN WYCK BLVD,436
R276,VERNON/JACKSON,437
R138,W 4 ST-WASH SQ,438
R312,W 8 ST-AQUARIUM,439
R145,WAKEFIELD-241,440
R027,WALL ST,441
R043,WALL ST,442
R091,WASHINGTON-36 A,443
R107,WESTCHESTER SQ,444
R001,WHITEHALL ST,445
R325,WHITLOCK AVE,446
R295,WILSON AVE,447
R451,WINTHROP ST,448
R006,WOODHAVEN BLVD,449
R201,WOODHAVEN BLVD,450
R052,WOODLAWN ROAD,451
R029,WORLD TRADE CTR,452
R301,YORK ST,453
R326,ZEREGA AVE,454
