DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-01-25,1 AVE,40.730901,-73.981719,12000,14198,L
2020-01-25,103 ST,40.790582,-73.947473,5446,5260,6
2020-01-25,103 ST,40.796105,-73.961399,2251,1467,BC
2020-01-25,103 ST,40.799354,-73.968329,6551,3158,1
2020-01-25,103 ST-CORONA,40.749858,-73.862672,12986,9478,7
2020-01-25,104 ST,40.695184,-73.844326,1158,589,JZ
2020-01-25,110 ST,40.795066,-73.944297,10328,9406,6
2020-01-25,110 ST-CATHEDRL,40.804032,-73.966742,12306,6146,1
2020-01-25,110 ST-CPN,40.799110,-73.951807,4354,4189,23
2020-01-25,111 ST,40.697405,-73.836354,971,526,J
2020-01-25,111 ST,40.751760,-73.855183,7114,4585,7
2020-01-25,116 ST,40.798574,-73.941593,14190,9098,6
2020-01-25,116 ST,40.802098,-73.949625,11010,6048,23
2020-01-25,116 ST,40.805072,-73.954833,7406,5310,BC
2020-01-25,116 ST-COLUMBIA,40.808190,-73.964124,6295,2896,1
2020-01-25,121 ST,40.700536,-73.828382,1081,675,JZ
2020-01-25,125 ST,40.804406,-73.937452,10873,11486,456
2020-01-25,125 ST,40.808076,-73.945906,14330,7154,23
2020-01-25,125 ST,40.811056,-73.952386,30874,30072,ACBD
2020-01-25,125 ST,40.815596,-73.958395,3828,3809,1
2020-01-25,135 ST,40.814459,-73.940992,14506,5632,23
2020-01-25,135 ST,40.817902,-73.947644,6741,4884,BC
2020-01-25,137 ST-CITY COL,40.821994,-73.953674,22754,21988,1
2020-01-25,138 ST-3 AVE,40.810512,-73.926165,3896,4415,6
2020-01-25,138 ST-GR CONC,40.813208,-73.929877,911,904,45
2020-01-25,14 ST,40.738007,-73.998381,25708,17874,123FLM
2020-01-25,14 ST,40.740388,-74.002104,20637,19927,ACEL
2020-01-25,14 ST-6 AVE,40.737348,-73.996900,40696,52584,FLM123
2020-01-25,14 ST-UNION SQ,40.734836,-73.990688,252702,293574,LNQR456
