DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME,UNIT
2019-12-28,33 ST,40.746119,-73.981826,40620,37924,6,R176
2019-12-28,33 ST/RAWSON ST,40.744558,-73.930993,3396,2984,7,R291
2019-12-28,34 ST-HERALD SQ,40.749533,-73.987899,222988,222551,BDFMNQR,R022
2019-12-28,34 ST-HUDSON YD,40.755882,-74.001910,19,29,7,R072
2019-12-28,34 ST-PENN STA,40.750264,-73.992984,53530,42448,123ACE,R293
2019-12-28,34 ST-PENN STA,40.750329,-73.991096,59936,72052,123,R031
2019-12-28,34 ST-PENN STA,40.752247,-73.993456,219338,192398,ACE,R012
2019-12-28,36 ST,40.655150,-74.003477,7600,5114,DNR,R197
2019-12-28,36 ST,40.752020,-73.928740,3232,2870,MR,R339
2019-12-28,4 AVE,40.670320,-73.988757,6131,5535,DFGMNR,R258
2019-12-28,40 ST-LOWERY ST,40.743778,-73.923998,5021,4530,7,R261
2019-12-28,42 ST-BRYANT PK,40.754198,-73.984573,79254,91314,BDFM7,R021
2019-12-28,42 ST-GRD CNTRL,40.751849,-73.976945,144341,138847,4567S,R045
2019-12-28,42 ST-PA BUS TE,40.757303,-73.989787,162958,140388,ACENQRS1237,R010
2019-12-28,42 ST-TIMES SQ,40.755905,-73.986504,289405,326816,1237ACENQRS,R032
2019-12-28,45 ST,40.648866,-74.010086,4404,2507,R,R232
2019-12-28,46 ST,40.756312,-73.913333,13185,10611,MR,R267
2019-12-28,46 ST-BLISS ST,40.743079,-73.918419,15404,11146,7,R223
2019-12-28,47-50 ST-ROCK,40.758652,-73.981311,151773,149949,BDFM,R020
2019-12-28,49 ST-7 AVE,40.760139,-73.984112,79508,71152,NQR,R081
2019-12-28,5 AVE-53 ST,40.760179,-73.975196,20274,29738,EM,R015
2019-12-28,5 AVE-59 ST,40.764909,-73.973372,25416,24008,NQR,R079
2019-12-28,5 AVE-BRYANT PK,40.753824,-73.981966,7610,5220,7BDFM,R054
2019-12-28,50 ST,40.636232,-73.994765,1322,1270,D,R234
2019-12-28,50 ST,40.761675,-73.983908,35684,41334,1,R116
2019-12-28,50 ST,40.762439,-73.985989,27006,14836,CE,R188
2019-12-28,51 ST,40.757108,-73.971870,33750,36342,6,R049
2019-12-28,52 ST-LINCOLN,40.744103,-73.912497,3401,2613,7,R327
2019-12-28,53 ST,40.644959,-74.014034,4710,4465,R,R233
2019-12-28,55 ST,40.631412,-73.995473,667,323,D,R247
2019-12-28,57 ST,40.763625,-73.977449,11610,15676,F,R302
2019-12-28,57 ST-7 AVE,40.764755,-73.980646,39296,26174,NQR,R080
2019-12-28,59 ST,40.641426,-74.017972,13422,8872,NR,R212
2019-12-28,59 ST,40.762796,-73.967686,58286,66110,456NQR,R051
2019-12-28,59 ST-COLUMBUS,40.768110,-73.981891,124389,121863,1ABCD,R084
2019-12-28,6 AVE,40.737348,-73.996900,11127,14409,FLM123,R163
2019-12-28,61 ST/WOODSIDE,40.745623,-73.902969,9392,7791,7,R147
2019-12-28,63 DR-REGO PARK,40.729869,-73.861610,17654,7374,MR,R202
2019-12-28,65 ST,40.749663,-73.898485,2376,2253,MR,R340
2019-12-28,66 ST-LINCOLN,40.773424,-73.982234,31287,34668,1,R164
2019-12-28,67 AVE,40.726462,-73.852630,8214,4272,MR,R219
2019-12-28,68ST-HUNTER COL,40.768143,-73.964016,5428,5970,6,R177
2019-12-28,69 ST-FISK AVE,40.746325,-73.896403,3030,2779,7,R347
2019-12-28,7 AV-PARK SLOPE,40.666276,-73.980324,4816,2389,FG,R288
2019-12-28,7 AVE,40.677172,-73.972514,3327,2941,BQ,R171
2019-12-28,7 AVE-53 ST,40.762877,-73.981590,17524,21222,BDE,R113
2019-12-28,71 ST,40.619588,-73.998842,3416,1233,D,R370
2019-12-28,72 ST,40.775545,-73.976398,6572,4597,BC,R281
2019-12-28,72 ST,40.778575,-73.981912,36900,37840,123,R452
2019-12-28,72 ST-2 AVE,40.784318,-73.947152,10258,6680,Q,R570
2019-12-28,74 ST-BROADWAY,40.746655,-73.891361,35933,28254,EFMR7,R018
2019-12-28,75 AVE,40.718477,-73.837223,1644,636,EF,R341
2019-12-28,77 ST,40.629702,-74.025514,2933,1162,R,R214
2019-12-28,77 ST,40.773636,-73.959875,20778,24252,6,R178
2019-12-28,79 ST,40.613513,-74.000645,4377,1243,D,R371
2019-12-28,79 ST,40.783872,-73.979938,16652,8968,1,R166
2019-12-28,8 AVE,40.635011,-74.011717,8531,8839,N,R390
2019-12-28,8 AVE,40.740388,-74.002104,24973,26061,ACEL,R175
2019-12-28,8 ST-B'WAY NYU,40.730348,-73.992705,20678,18568,NR,R085
2019-12-28,81 ST-MUSEUM,40.781435,-73.972149,25048,18612,BC,R187
2019-12-28,82 ST-JACKSON H,40.747647,-73.883786,10601,11131,7,R096
2019-12-28,86 ST,40.592676,-73.978243,1460,1601,N,R397
2019-12-28,86 ST,40.622715,-74.028368,16770,10818,R,R215
2019-12-28,86 ST,40.779485,-73.955541,52508,60198,456,R179
2019-12-28,86 ST,40.785822,-73.968952,10024,8644,BC,R186
2019-12-28,86 ST,40.788844,-73.975990,24135,28074,1,R167
2019-12-28,86 ST-2 AVE,40.777891,-73.951787,12438,6689,Q,R571
2019-12-28,9 AVE,40.646343,-73.994551,3444,2926,D,R368
2019-12-28,9 ST,40.670320,-73.988757,6131,5535,DFGMNR,R258
2019-12-28,90 ST-ELMHURST,40.748541,-73.876791,11527,4794,7,R122
2019-12-28,96 ST,40.785822,-73.950970,5490,2220,6,R144
2019-12-28,96 ST,40.791654,-73.964682,8300,6860,BC,R251
2019-12-28,96 ST,40.793880,-73.972363,42234,53514,123,R168
2019-12-28,96 ST-2 AVE,40.768799,-73.958424,8996,4495,Q,R572
2019-12-28,ALABAMA AVE,40.677107,-73.898871,1054,1220,J,R433
2019-12-28,ALLERTON AVE,40.865481,-73.867393,2670,1102,25,R362
2019-12-28,AQUEDUCT TRACK,40.668221,-73.834026,1700,183,A,R464
2019-12-28,AQUEDUCT-N CNDT,40.668234,-73.834058,373,1372,A,R357
2019-12-28,ASTOR PLACE,40.730056,-73.991042,13840,18962,6,R160
2019-12-28,ATLANTIC AVE,40.675496,-73.902819,591,307,L,R348
2019-12-28,ATLANTIC AVE,40.684063,-73.977417,67260,72189,2345BDNQR,R057
2019-12-28,AVE H,40.629164,-73.961678,1452,1132,BQ,R263
2019-12-28,AVE I,40.625305,-73.975732,721,346,F,R421
2019-12-28,AVE J,40.625028,-73.960819,2788,1334,BQ,R228
2019-12-28,AVE M,40.617568,-73.959360,2306,823,BQ,R229
2019-12-28,AVE N,40.615174,-73.974166,2564,828,F,R423
2019-12-28,AVE P,40.609147,-73.972986,1307,518,F,R424
2019-12-28,AVE U,40.596065,-73.973329,899,332,F,R425
2019-12-28,AVE U,40.597482,-73.979359,2292,1645,N,R396
2019-12-28,AVE U,40.599307,-73.955916,4305,1388,BQ,R150
2019-12-28,AVE X,40.589547,-73.974295,1355,692,F,R271
2019-12-28,BAY 50 ST,40.588879,-73.983629,1513,208,D,R400
2019-12-28,BAY PARKWAY,40.601898,-73.993821,4627,3991,D,R374
2019-12-28,BAY PKY-22 AVE,40.612006,-73.982009,8252,4784,N,R394
2019-12-28,BAY RIDGE AVE,40.634945,-74.023411,4352,2567,R,R213
2019-12-28,BAY RIDGE-95 ST,40.616624,-74.030964,5922,3702,R,R216
2019-12-28,BAYCHESTER AVE,40.878656,-73.838596,1294,233,5,R292
2019-12-28,BEACH 105 ST,40.583542,-73.826430,73,105,AS,R418
2019-12-28,BEACH 25 ST,40.600138,-73.761520,804,849,A,R358
2019-12-28,BEACH 36 ST,40.595381,-73.768194,573,563,A,R338
2019-12-28,BEACH 44 ST,40.593214,-73.776433,376,421,A,R337
2019-12-28,BEACH 60 ST,40.592334,-73.788493,1090,772,A,R336
2019-12-28,BEACH 67 ST,40.590867,-73.797011,1208,866,A,R335
2019-12-28,BEACH 90 ST,40.588032,-73.813684,366,345,AS,R416
2019-12-28,BEACH 98 ST,40.585514,-73.820143,173,155,AS,R417
2019-12-28,BEDFORD AVE,40.717241,-73.956614,13873,8010,L,R235
2019-12-28,BEDFORD PARK BL,40.873026,-73.886919,7206,4448,BD,R156
2019-12-28,BEDFORD PARK BL,40.873399,-73.890084,1972,888,4,R183
2019-12-28,BEDFORD/NOSTRAN,40.689636,-73.953459,8678,5236,G,R269
2019-12-28,BEEBE-39 AVE,40.753076,-73.932710,2332,2125,NQ,R090
2019-12-28,BERGEN ST,40.680801,-73.975132,3856,3990,23,R058
2019-12-28,BERGEN ST,40.686154,-73.990881,15384,10287,FG,R129
2019-12-28,BEVERLEY ROAD,40.643982,-73.964510,1879,1749,BQ,R262
2019-12-28,BEVERLY ROAD,40.645089,-73.948975,2177,627,25,R210
2019-12-28,BLEECKER ST,40.725665,-73.995645,9380,4720,6DF,R194
2019-12-28,BOROUGH HALL/CT,40.692404,-73.990151,41308,33928,2345R,R108
2019-12-28,BOTANIC GARDEN,40.670499,-73.958759,449,850,S2345,R412
2019-12-28,BOWERY,40.720315,-73.994014,3692,3465,JZ,R311
2019-12-28,BOWLING GREEN,40.704782,-74.014099,20538,18836,45,R041
2019-12-28,BOYD-88 ST,40.679857,-73.851492,1270,458,A,R384
2019-12-28,BRIGHTON BEACH,40.577961,-73.961806,12584,7098,BQ,R172
2019-12-28,BROAD CHANNEL,40.608693,-73.816068,112,42,AS,R415
2019-12-28,BROAD ST,40.706539,-74.011052,6969,3846,JZ,R125
2019-12-28,BROADWAY,40.706100,-73.950348,2543,2197,G,R299
2019-12-28,BROADWAY-31 ST,40.761959,-73.925382,6579,5804,NQ,R092
2019-12-28,BROADWAY-ENY,40.678848,-73.904139,5053,4909,ACJLZ,R103
2019-12-28,BROADWAY/LAFAY,40.725297,-73.996204,25420,40928,BDFQ6,R461
2019-12-28,BRONX PARK EAST,40.848797,-73.868465,1174,493,25,R389
2019-12-28,BROOK AVE,40.808044,-73.919234,6808,6344,6,R446
2019-12-28,BROOKLYN BRIDGE,40.713159,-74.003917,27714,28066,456JZ,R044
2019-12-28,BUHRE AVE,40.846817,-73.832545,1605,1519,6,R428
2019-12-28,BURKE AVE,40.871387,-73.867135,1678,773,25,R363
2019-12-28,BURNSIDE AVE,40.853390,-73.907733,5479,5279,4,R244
2019-12-28,BUSHWICK AVE,40.682558,-73.905501,1018,726,L,R313
2019-12-28,CANAL ST,40.718233,-74.000323,6686,2444,JNQRZ6,R118
2019-12-28,CANAL ST,40.718697,-74.000977,52676,45624,JNQRZ6,R462
2019-12-28,CANAL ST,40.720852,-74.005237,22522,29008,ACE,R139
2019-12-28,CANAL ST,40.722819,-74.006267,4618,5920,1,R320
2019-12-28,CARROLL ST,40.680231,-73.994980,10156,5448,FG,R220
2019-12-28,CASTLE HILL AVE,40.834255,-73.851222,3482,3804,6,R106
2019-12-28,CATHEDRL-110 ST,40.800637,-73.958201,9700,3760,BC,R334
2019-12-28,CENTRAL AVE,40.697673,-73.927131,2906,2362,M,R401
2019-12-28,CHAMBERS ST,40.713159,-74.003917,27714,28066,456JZ,R044
2019-12-28,CHAMBERS ST,40.714330,-74.008563,47904,44868,ACE23,R029
2019-12-28,CHAMBERS ST,40.715436,-74.009335,5106,5925,123,R030
2019-12-28,CHAUNCEY ST,40.682867,-73.910480,2014,896,JZ,R432
2019-12-28,CHRISTOPHER ST,40.733405,-74.002898,14138,13042,1,R189
2019-12-28,CHURCH AVE,40.644039,-73.979541,10360,6164,FG,R204
2019-12-28,CHURCH AVE,40.650494,-73.962836,15986,15254,BQ,R098
2019-12-28,CHURCH AVE,40.650843,-73.949575,4581,1182,25,R109
2019-12-28,CLARK ST,40.697356,-73.992888,3279,2320,23,R224
2019-12-28,CLASSON AVE,40.688855,-73.960025,2636,2547,G,R287
2019-12-28,CLEVELAND ST,40.679938,-73.884687,1626,1560,J,R435
2019-12-28,CLINTON-WASH AV,40.683263,-73.965838,5918,5068,C,R284
2019-12-28,CLINTON-WASH AV,40.688123,-73.966742,1990,951,G,R317
2019-12-28,CORTELYOU ROAD,40.640905,-73.963866,3521,1046,BQ,R184
2019-12-28,CORTLANDT ST,40.710454,-74.011324,47428,34032,1,R305
2019-12-28,CORTLANDT ST,40.710662,-74.011052,57208,45844,R,R088
2019-12-28,COURT SQ,40.747029,-73.945370,754,494,7,R346
2019-12-28,COURT SQ,40.747257,-73.945112,22066,14240,EMG,R359
2019-12-28,COURT SQ-23 ST,40.747257,-73.945112,11033,7120,EMG,R359
2019-12-28,CRESCENT ST,40.683209,-73.873765,2524,2664,JZ,R437
2019-12-28,CROWN HTS-UTICA,40.669279,-73.932967,26112,18910,34,R062
2019-12-28,CYPRESS AVE,40.805737,-73.914471,3266,2654,6,R447
2019-12-28,CYPRESS HILLS,40.689945,-73.872564,803,501,J,R003
2019-12-28,DEKALB AVE,40.690612,-73.981848,9356,3798,BDNQR,R099
2019-12-28,DEKALB AVE,40.703839,-73.918440,4715,1433,L,R236
2019-12-28,DELANCEY ST,40.718380,-73.987813,31268,27612,FJMZ,R142
2019-12-28,DITMARS BL-31 S,40.774984,-73.912067,9181,7714,NQ,R095
2019-12-28,DITMAS AVE,40.636150,-73.978179,3334,1522,F,R420
2019-12-28,DYCKMAN ST,40.860523,-73.925575,4424,2199,1,R036
2019-12-28,DYCKMAN-200 ST,40.865286,-73.926980,4041,120,A,R185
2019-12-28,DYRE AVE,40.888244,-73.830850,1512,1512,5,R431
2019-12-28,E 143 ST,40.808742,-73.907690,972,1202,6,R448
2019-12-28,E 149 ST,40.812104,-73.904085,5992,5546,6,R449
2019-12-28,E 177 ST-PARKCH,40.833246,-73.860805,7680,7026,6,R222
2019-12-28,E 180 ST,40.841882,-73.873551,3652,2837,25,R388
2019-12-28,E TREMONT AVE,40.840097,-73.879774,6822,4440,25,R387
2019-12-28,EAST 105 ST,40.650625,-73.899558,1414,1473,L,R376
2019-12-28,EAST BROADWAY,40.713647,-73.990152,13134,4802,F,R257
2019-12-28,EASTERN PKWY,40.672013,-73.964360,2635,2743,23,R060
2019-12-28,ELDER AVE,40.828894,-73.879559,3680,3386,6,R162
2019-12-28,ELDERTS LANE,40.691320,-73.867135,1923,1162,JZ,R004
2019-12-28,ELMHURST AVE,40.742445,-73.882005,8263,3070,MR,R218
2019-12-28,ESSEX ST,40.718380,-73.987813,15634,13806,FJMZ,R142
2019-12-28,EUCLID AVE,40.675382,-73.872070,5791,1848,AC,R200
2019-12-28,FAR ROCKAWAY,40.603983,-73.755383,2567,2682,A,R285
2019-12-28,FLATBUSH AVE,40.632836,-73.947642,22779,14616,25,R110
2019-12-28,FLUSHING AVE,40.700244,-73.941658,4967,2990,JM,R377
2019-12-28,FLUSHING AVE,40.700374,-73.950284,1614,1646,G,R316
2019-12-28,FORDHAM ROAD,40.862803,-73.901034,15276,9068,BD,R112
2019-12-28,FORDHAM ROAD,40.862941,-73.901199,5585,1194,4,R119
2019-12-28,FOREST AVE,40.704424,-73.903077,2507,1672,M,R403
2019-12-28,FOREST HILLS-71,40.721681,-73.844390,35673,16362,EFMR,R141
2019-12-28,FOREST PARKWAY,40.692304,-73.860151,2141,937,J,R005
2019-12-28,FRANKLIN AVE,40.670711,-73.958051,6673,3590,2345S,R123
2019-12-28,FRANKLIN AVE,40.681159,-73.956056,6022,5738,ACS,R297
2019-12-28,FRANKLIN ST,40.719323,-74.006953,3310,1396,1,R343
2019-12-28,FREEMAN ST,40.829966,-73.891876,4588,3502,25,R409
2019-12-28,FRESH POND ROAD,40.706181,-73.895910,3256,2952,M,R404
2019-12-28,FT HAMILTON PKY,40.631428,-74.005387,7542,3862,N,R391
2019-12-28,FT HAMILTON PKY,40.640872,-73.994229,1767,973,D,R369
2019-12-28,FT HAMILTON PKY,40.650722,-73.975818,5042,1622,FG,R289
2019-12-28,FULTON ST,40.687130,-73.975346,3021,3163,G,R318
2019-12-28,FULTON ST,40.709938,-74.007983,174638,145468,2345ACJZ,R028
2019-12-28,GATES AVE,40.689652,-73.922281,3835,1391,JZ,R380
2019-12-28,GRAHAM AVE,40.714590,-73.944104,7058,4674,L,R249
2019-12-28,GRAND ARMY PLAZ,40.675219,-73.971012,3612,1772,23,R059
2019-12-28,GRAND AV-NEWTON,40.736998,-73.877242,11101,7276,MR,R254
2019-12-28,GRAND ST,40.711874,-73.940670,4786,4946,L,R250
2019-12-28,GRAND ST,40.718542,-73.994164,20855,16872,BD,R240
2019-12-28,GRAND-30 AVE,40.766843,-73.921423,7635,6043,NQ,R093
2019-12-28,GRANT AVE,40.677107,-73.865376,3030,2693,A,R382
2019-12-28,GREENPOINT AVE,40.731324,-73.954425,9884,9404,G,R239
2019-12-28,GREENWOOD-111,40.684364,-73.832181,1982,690,A,R355
2019-12-28,GUN HILL ROAD,40.877796,-73.866341,1023,679,5,R226
2019-12-28,GUN HILL ROAD,40.877796,-73.866255,3675,3914,25,R364
2019-12-28,HALSEY ST,40.686170,-73.916337,3741,1484,J,R381
2019-12-28,HALSEY ST,40.695607,-73.904021,6530,4180,L,R266
2019-12-28,HEWES ST,40.706994,-73.953481,2138,1662,JM,R352
2019-12-28,HIGH ST,40.699316,-73.990474,21324,30772,AC,R252
2019-12-28,HOUSTON ST,40.728202,-74.005344,18236,13884,1,R290
2019-12-28,HOWARD BCH-JFK,40.660476,-73.830301,4514,318,A,R414
2019-12-28,HOYT ST,40.690545,-73.985065,1124,1782,23,R456
2019-12-28,HOYT ST,40.690547,-73.985066,2145,1064,23,R225
2019-12-28,HOYT ST-ASTORIA,40.770426,-73.917614,4223,3813,NQ,R094
2019-12-28,HOYT/SCHERMER,40.688465,-73.985474,6341,6369,ACG,R217
2019-12-28,HUDSON-80 ST,40.679369,-73.858960,4208,1848,A,R383
2019-12-28,HUNTERS PT AVE,40.742380,-73.948889,12,72,7,R134
2019-12-28,HUNTS POINT AVE,40.820889,-73.890567,5057,4472,6,R146
2019-12-28,INTERVALE-163,40.822172,-73.896747,1415,1327,25,R407
2019-12-28,INWOOD-207 ST,40.868045,-73.919921,9526,4570,A,R173
2019-12-28,JACKSON AVE,40.816505,-73.907797,2426,516,25,R405
2019-12-28,JAMAICA CENTER,40.702131,-73.801110,30326,29672,EJZ,R025
2019-12-28,JAMAICA-179 ST,40.712622,-73.783815,18738,8976,F,R019
2019-12-28,JAMAICA-VAN WYC,40.702566,-73.816859,2078,1925,E,R342
2019-12-28,JAY ST-METROTEC,40.692182,-73.985935,3780,3636,R,R089
2019-12-28,JAY ST-METROTEC,40.692338,-73.987342,25946,18654,ACF,R127
2019-12-28,JEFFERSON ST,40.706636,-73.922925,4135,1121,L,R279
2019-12-28,JFK HOWARD BCH,40.660476,-73.830301,5812,5432,A,R535
2019-12-28,JFK JAMAICA CT1,40.643942,-73.782356,8674,5300,E,R536
2019-12-28,JUNCTION BLVD,40.749143,-73.869452,15029,11542,7,R097
2019-12-28,JUNIUS ST,40.663419,-73.902454,1134,1523,3,R066
2019-12-28,KINGS HIGHWAY,40.603234,-73.972342,3600,2604,F,R130
2019-12-28,KINGS HIGHWAY,40.603967,-73.980668,2988,2558,N,R395
2019-12-28,KINGS HIGHWAY,40.608691,-73.957772,26484,20892,BQ,R211
2019-12-28,KINGSBRIDGE RD,40.866974,-73.893485,8652,7476,BD,R155
2019-12-28,KINGSBRIDGE RD,40.867899,-73.897326,3800,1806,4,R161
2019-12-28,KINGSTON AVE,40.669409,-73.942173,2464,2003,3,R124
2019-12-28,KINGSTON-THROOP,40.679921,-73.940858,7632,7504,C,R199
2019-12-28,KNICKERBOCKER,40.698666,-73.919685,3416,3038,M,R413
2019-12-28,KOSCIUSZKO ST,40.693329,-73.928826,2930,992,J,R379
2019-12-28,LAFAYETTE AVE,40.686170,-73.973908,2595,1361,C,R283
2019-12-28,LEFFERTS BLVD,40.685975,-73.824713,3307,2820,A,R356
2019-12-28,LEXINGTON AVE,40.762796,-73.967686,29143,33055,456NQR,R051
2019-12-28,LEXINGTON AVE,40.764763,-73.966291,10032,11102,F,R319
2019-12-28,LEXINGTON-53 ST,40.757530,-73.969102,23223,25258,EM6,R017
2019-12-28,LIBERTY AVE,40.674552,-73.896554,1154,610,C,R440
2019-12-28,LIVONIA AVE,40.663801,-73.900444,1442,1309,L,R350
2019-12-28,LONGWOOD AVE,40.816083,-73.896060,3684,1574,6,R450
2019-12-28,LORIMER ST,40.703855,-73.947387,3294,2444,JM,R353
2019-12-28,LORIMER ST,40.713875,-73.951592,7477,5307,GL,R268
2019-12-28,MAIN ST,40.759578,-73.830056,76556,66730,7,R055
2019-12-28,MARBLE HILL-225,40.874551,-73.909879,3355,642,1,R039
2019-12-28,MARCY AVE,40.708377,-73.957751,16812,13848,JMZ,R460
2019-12-28,METROPOLITAN AV,40.711353,-73.889580,1771,1955,M,R100
2019-12-28,METROPOLITAN AV,40.713875,-73.951592,7477,5307,GL,R268
2019-12-28,METS-WILLETS PT,40.754622,-73.845625,6816,9486,7,R328
2019-12-28,MIDDLETOWN ROAD,40.843635,-73.836687,746,666,6,R427
2019-12-28,MONTROSE AVE,40.707889,-73.940005,2611,1749,L,R265
2019-12-28,MORGAN AVE,40.706148,-73.933160,3497,1928,L,R294
2019-12-28,MORRIS PARK,40.854137,-73.860977,722,526,5,R329
