DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-03-21,1 AVE,40.730901,-73.981719,16,686,L
2020-03-21,103 ST,40.790582,-73.947473,2129,2521,6
2020-03-21,103 ST,40.796105,-73.961399,561,463,BC
2020-03-21,103 ST,40.799354,-73.968329,1304,1102,1
2020-03-21,103 ST-CORONA,40.749858,-73.862672,4755,3814,7
2020-03-21,104 ST,40.695184,-73.844326,489,240,JZ
2020-03-21,110 ST,40.795066,-73.944297,3584,4262,6
2020-03-21,110 ST-CATHEDRL,40.804032,-73.966742,2436,2374,1
2020-03-21,110 ST-CPN,40.799110,-73.951807,1353,1882,23
2020-03-21,111 ST,40.697405,-73.836354,444,251,J
2020-03-21,111 ST,40.751760,-73.855183,2787,1923,7
2020-03-21,116 ST,40.798574,-73.941593,5868,5324,6
2020-03-21,116 ST,40.802098,-73.949625,3626,3194,23
2020-03-21,116 ST,40.805072,-73.954833,1786,2226,BC
2020-03-21,116 ST-COLUMBIA,40.808190,-73.964124,524,502,1
2020-03-21,121 ST,40.700536,-73.828382,517,359,JZ
2020-03-21,125 ST,40.804406,-73.937452,5497,6558,456
2020-03-21,125 ST,40.808076,-73.945906,5016,4428,23
2020-03-21,125 ST,40.811056,-73.952386,8856,11062,ACBD
2020-03-21,125 ST,40.815596,-73.958395,958,1293,1
2020-03-21,135 ST,40.814459,-73.940992,4912,2832,23
2020-03-21,135 ST,40.817902,-73.947644,1905,1791,BC
2020-03-21,137 ST-CITY COL,40.821994,-73.953674,3802,4304,1
2020-03-21,138 ST-3 AVE,40.810512,-73.926165,2727,1783,6
2020-03-21,138 ST-GR CONC,40.813208,-73.929877,503,341,45
2020-03-21,14 ST,40.738007,-73.998381,3710,3158,123FLM
2020-03-21,14 ST,40.740388,-74.002104,2099,2785,ACEL
2020-03-21,14 ST-6 AVE,40.737348,-73.996900,5364,8596,FLM123
2020-03-21,14 ST-UNION SQ,40.734836,-73.990688,48714,57402,LNQR456
2020-03-21,145 ST,40.820402,-73.936315,679,129,3
2020-03-21,145 ST,40.824787,-73.944232,6974,8118,ABCD
2020-03-21,145 ST,40.826426,-73.950412,3166,3394,1
2020-03-21,148 ST-LENOX,40.823877,-73.936443,734,693,3
2020-03-21,149 ST-3 AVE,40.816132,-73.917754,9602,6764,25
2020-03-21,149 ST-GR CONC,40.818429,-73.926927,5228,5302,245
2020-03-21,15 ST-PROSPECT,40.660376,-73.979509,968,668,FG
2020-03-21,155 ST,40.829934,-73.938632,962,714,BD
2020-03-21,155 ST,40.830551,-73.941486,404,447,C
2020-03-21,157 ST,40.833879,-73.944726,3700,3300,1
2020-03-21,161 ST-YANKEE,40.827888,-73.925736,28602,19668,BD4
2020-03-21,163 ST-AMSTERDM,40.835957,-73.939898,687,817,C
2020-03-21,167 ST,40.833773,-73.918430,4268,2632,BD
2020-03-21,167 ST,40.835535,-73.921380,2219,2417,4
2020-03-21,168 ST-BROADWAY,40.840778,-73.940091,9054,6996,1AC
2020-03-21,169 ST,40.710459,-73.793600,2246,2584,F
2020-03-21,170 ST,40.839301,-73.913355,2852,2272,BD
2020-03-21,170 ST,40.840048,-73.917775,2185,1983,4
2020-03-21,174 ST,40.837382,-73.887659,2674,3236,25
2020-03-21,174-175 ST,40.845892,-73.910136,2228,1592,BD
2020-03-21,175 ST,40.847369,-73.939683,3058,2036,A
2020-03-21,176 ST,40.848635,-73.912497,1425,1228,4
2020-03-21,18 AVE,40.607958,-74.001782,950,305,D
2020-03-21,18 AVE,40.620728,-73.990388,805,679,N
2020-03-21,18 AVE,40.629881,-73.977149,1216,978,F
2020-03-21,18 ST,40.741096,-73.997877,550,654,1
2020-03-21,181 ST,40.849495,-73.933632,2769,3149,1
2020-03-21,181 ST,40.851686,-73.937967,2122,2496,A
2020-03-21,182-183 ST,40.856085,-73.900695,1224,751,BD
2020-03-21,183 ST,40.858389,-73.903828,1544,972,4
2020-03-21,190 ST,40.859022,-73.934190,502,303,A
2020-03-21,191 ST,40.855176,-73.929384,235,335,1
2020-03-21,2 AVE,40.723291,-73.989873,2518,3912,F
2020-03-21,20 AVE,40.604798,-73.998456,748,246,D
2020-03-21,20 AVE,40.617373,-73.985088,468,433,N
2020-03-21,207 ST,40.864653,-73.918719,1404,1105,1
2020-03-21,21 ST,40.754100,-73.942580,935,952,F
2020-03-21,215 ST,40.869359,-73.915329,237,129,1
2020-03-21,219 ST,40.883767,-73.862736,884,629,25
2020-03-21,22 AVE-BAY PKY,40.620907,-73.975453,238,105,F
2020-03-21,225 ST,40.887887,-73.860505,1039,743,25
2020-03-21,23 ST,40.740088,-73.986429,4956,5740,6
2020-03-21,23 ST,40.744071,-73.995624,2360,2898,1
2020-03-21,23 ST,40.745924,-73.998005,3216,2535,CE
2020-03-21,23 ST-5 AVE,40.741006,-73.989315,1848,1688,NR
2020-03-21,23 ST-6 AVE,40.742868,-73.992770,960,1075,FM
2020-03-21,23 ST-6 AVE,40.742981,-73.992727,892,1219,FM
2020-03-21,231 ST,40.878867,-73.904858,1510,270,1
2020-03-21,233 ST,40.893386,-73.857265,1238,574,25
2020-03-21,238 ST,40.884821,-73.900759,644,100,1
2020-03-21,242 ST,40.889185,-73.898549,936,558,1
2020-03-21,25 AVE,40.597873,-73.986955,692,196,D
2020-03-21,25 ST,40.660430,-73.997944,147,395,R
2020-03-21,25 ST,40.660481,-73.998059,421,279,R
2020-03-21,28 ST,40.743095,-73.984251,4263,5535,6
2020-03-21,28 ST,40.747224,-73.993360,1270,1384,1
2020-03-21,28 ST-BROADWAY,40.745574,-73.988682,898,1476,NR
2020-03-21,3 AVE,40.733243,-73.987169,18,56,L
2020-03-21,33 ST,40.746119,-73.981826,6840,7048,6
2020-03-21,33 ST/RAWSON ST,40.744558,-73.930993,614,860,7
2020-03-21,34 ST-HERALD SQ,40.749533,-73.987899,16185,19556,BDFMNQR
2020-03-21,34 ST-HUDSON YD,40.755882,-74.001910,955,1121,7
2020-03-21,34 ST-PENN STA,40.750264,-73.992984,5958,7586,123ACE
2020-03-21,34 ST-PENN STA,40.750329,-73.991096,5760,9476,123
2020-03-21,34 ST-PENN STA,40.752247,-73.993456,17337,25207,ACE
2020-03-21,36 ST,40.655150,-74.003477,2031,1789,DNR
2020-03-21,36 ST,40.752020,-73.928740,672,626,MR
2020-03-21,4 AVE,40.670320,-73.988757,1173,1540,DFGMNR
2020-03-21,40 ST-LOWERY ST,40.743778,-73.923998,978,1102,7
2020-03-21,42 ST-BRYANT PK,40.754198,-73.984573,5646,7515,BDFM7
2020-03-21,42 ST-GRD CNTRL,40.751849,-73.976945,13244,17082,4567S
2020-03-21,42 ST-PA BUS TE,40.757303,-73.989787,18530,20762,ACENQRS1237
2020-03-21,42 ST-TIMES SQ,40.755905,-73.986504,23749,28204,1237ACENQRS
2020-03-21,45 ST,40.648866,-74.010086,1231,974,R
2020-03-21,46 ST,40.756312,-73.913333,2886,2949,MR
2020-03-21,46 ST-BLISS ST,40.743079,-73.918419,4014,2956,7
2020-03-21,47-50 ST-ROCK,40.758652,-73.981311,5106,5850,BDFM
2020-03-21,49 ST-7 AVE,40.760139,-73.984112,3292,4040,NQR
