DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-03-14,1 AVE,40.730901,-73.981719,4734,7592,L
2020-03-14,103 ST,40.790582,-73.947473,4250,4378,6
2020-03-14,103 ST,40.796105,-73.961399,1340,929,BC
2020-03-14,103 ST,40.799354,-73.968329,3599,2317,1
2020-03-14,103 ST-CORONA,40.749858,-73.862672,10585,4006,7
2020-03-14,104 ST,40.695184,-73.844326,1080,472,JZ
2020-03-14,110 ST,40.795066,-73.944297,7918,8346,6
2020-03-14,110 ST-CATHEDRL,40.804032,-73.966742,6760,5190,1
2020-03-14,110 ST-CPN,40.799110,-73.951807,3123,3488,23
2020-03-14,111 ST,40.697405,-73.836354,868,499,J
2020-03-14,111 ST,40.751760,-73.855183,6076,4040,7
2020-03-14,116 ST,40.798574,-73.941593,12122,9130,6
2020-03-14,116 ST,40.802098,-73.949625,8150,5438,23
2020-03-14,116 ST,40.805072,-73.954833,4328,4254,BC
2020-03-14,116 ST-COLUMBIA,40.808190,-73.964124,1699,1414,1
2020-03-14,121 ST,40.700536,-73.828382,958,616,JZ
2020-03-14,125 ST,40.804406,-73.937452,9080,10365,456
2020-03-14,125 ST,40.808076,-73.945906,11608,7498,23
2020-03-14,125 ST,40.811056,-73.952386,19644,20268,ACBD
2020-03-14,125 ST,40.815596,-73.958395,2315,2839,1
2020-03-14,135 ST,40.814459,-73.940992,10248,4396,23
2020-03-14,135 ST,40.817902,-73.947644,4623,3330,BC
2020-03-14,137 ST-CITY COL,40.821994,-73.953674,9604,8564,1
2020-03-14,138 ST-3 AVE,40.810512,-73.926165,3336,2481,6
2020-03-14,138 ST-GR CONC,40.813208,-73.929877,658,462,45
2020-03-14,14 ST,40.738007,-73.998381,17480,12096,123FLM
2020-03-14,14 ST,40.740388,-74.002104,3570,3019,ACEL
2020-03-14,14 ST-6 AVE,40.737348,-73.996900,29132,45100,FLM123
2020-03-14,14 ST-UNION SQ,40.734836,-73.990688,152232,175548,LNQR456
2020-03-14,145 ST,40.820402,-73.936315,1326,171,3
2020-03-14,145 ST,40.824787,-73.944232,17320,16240,ABCD
2020-03-14,145 ST,40.826426,-73.950412,7892,7294,1
2020-03-14,148 ST-LENOX,40.823877,-73.936443,1445,1376,3
2020-03-14,149 ST-3 AVE,40.816132,-73.917754,17122,10500,25
2020-03-14,149 ST-GR CONC,40.818429,-73.926927,9166,8906,245
2020-03-14,15 ST-PROSPECT,40.660376,-73.979509,3042,2426,FG
2020-03-14,155 ST,40.829934,-73.938632,1612,1012,BD
2020-03-14,155 ST,40.830551,-73.941486,947,671,C
2020-03-14,157 ST,40.833879,-73.944726,9056,7318,1
2020-03-14,161 ST-YANKEE,40.827888,-73.925736,52332,33444,BD4
2020-03-14,163 ST-AMSTERDM,40.835957,-73.939898,1749,1231,C
2020-03-14,167 ST,40.833773,-73.918430,8370,4340,BD
2020-03-14,167 ST,40.835535,-73.921380,3975,4199,4
2020-03-14,168 ST-BROADWAY,40.840778,-73.940091,20352,13590,1AC
2020-03-14,169 ST,40.710459,-73.793600,5712,5344,F
2020-03-14,170 ST,40.839301,-73.913355,5742,3818,BD
2020-03-14,170 ST,40.840048,-73.917775,3802,3287,4
2020-03-14,174 ST,40.837382,-73.887659,4806,5084,25
2020-03-14,174-175 ST,40.845892,-73.910136,4320,2394,BD
2020-03-14,175 ST,40.847369,-73.939683,8520,4596,A
2020-03-14,176 ST,40.848635,-73.912497,2540,1781,4
2020-03-14,18 AVE,40.607958,-74.001782,2311,594,D
2020-03-14,18 AVE,40.620728,-73.990388,1794,1476,N
2020-03-14,18 AVE,40.629881,-73.977149,2494,1662,F
2020-03-14,18 ST,40.741096,-73.997877,3476,3182,1
2020-03-14,181 ST,40.849495,-73.933632,5488,6801,1
2020-03-14,181 ST,40.851686,-73.937967,6664,6086,A
2020-03-14,182-183 ST,40.856085,-73.900695,2423,1089,BD
2020-03-14,183 ST,40.858389,-73.903828,2742,1573,4
2020-03-14,190 ST,40.859022,-73.934190,1515,711,A
2020-03-14,191 ST,40.855176,-73.929384,609,878,1
2020-03-14,2 AVE,40.723291,-73.989873,9452,10732,F
2020-03-14,20 AVE,40.604798,-73.998456,1904,557,D
2020-03-14,20 AVE,40.617373,-73.985088,1266,962,N
2020-03-14,207 ST,40.864653,-73.918719,2617,2163,1
2020-03-14,21 ST,40.754100,-73.942580,4166,3129,F
2020-03-14,215 ST,40.869359,-73.915329,553,266,1
2020-03-14,219 ST,40.883767,-73.862736,1364,815,25
2020-03-14,22 AVE-BAY PKY,40.620907,-73.975453,463,176,F
2020-03-14,225 ST,40.887887,-73.860505,1726,1018,25
2020-03-14,23 ST,40.740088,-73.986429,16080,16708,6
2020-03-14,23 ST,40.744071,-73.995624,9438,8880,1
2020-03-14,23 ST,40.745924,-73.998005,108,135,CE
2020-03-14,23 ST-5 AVE,40.741006,-73.989315,7898,6086,NR
2020-03-14,23 ST-6 AVE,40.742868,-73.992770,3882,4962,FM
2020-03-14,23 ST-6 AVE,40.742981,-73.992727,3816,4652,FM
2020-03-14,231 ST,40.878867,-73.904858,3196,465,1
2020-03-14,233 ST,40.893386,-73.857265,2076,775,25
2020-03-14,238 ST,40.884821,-73.900759,1457,166,1
2020-03-14,242 ST,40.889185,-73.898549,1930,987,1
2020-03-14,25 AVE,40.597873,-73.986955,2269,432,D
2020-03-14,25 ST,40.660430,-73.997944,341,851,R
2020-03-14,25 ST,40.660481,-73.998059,1040,444,R
2020-03-14,28 ST,40.743095,-73.984251,11286,13938,6
2020-03-14,28 ST,40.747224,-73.993360,5442,5012,1
2020-03-14,28 ST-BROADWAY,40.745574,-73.988682,5142,7410,NR
2020-03-14,3 AVE,40.733243,-73.987169,2298,2312,L
2020-03-14,33 ST,40.746119,-73.981826,19948,18920,6
2020-03-14,33 ST/RAWSON ST,40.744558,-73.930993,3004,3070,7
2020-03-14,34 ST-HERALD SQ,40.749533,-73.987899,79366,100103,BDFMNQR
2020-03-14,34 ST-HUDSON YD,40.755882,-74.001910,4602,6173,7
2020-03-14,34 ST-PENN STA,40.750264,-73.992984,27998,25024,123ACE
2020-03-14,34 ST-PENN STA,40.750329,-73.991096,23960,34340,123
2020-03-14,34 ST-PENN STA,40.752247,-73.993456,743,2059,ACE
2020-03-14,36 ST,40.655150,-74.003477,4997,3974,DNR
2020-03-14,36 ST,40.752020,-73.928740,1796,1442,MR
2020-03-14,4 AVE,40.670320,-73.988757,3412,3961,DFGMNR
2020-03-14,40 ST-LOWERY ST,40.743778,-73.923998,3347,2987,7
2020-03-14,42 ST-BRYANT PK,40.754198,-73.984573,24690,42510,BDFM7
2020-03-14,42 ST-GRD CNTRL,40.751849,-73.976945,44033,53381,4567S
2020-03-14,42 ST-PA BUS TE,40.757303,-73.989787,46216,33635,ACENQRS1237
2020-03-14,42 ST-TIMES SQ,40.755905,-73.986504,99447,118763,1237ACENQRS
2020-03-14,45 ST,40.648866,-74.010086,3057,2057,R
2020-03-14,46 ST,40.756312,-73.913333,8496,6936,MR
2020-03-14,46 ST-BLISS ST,40.743079,-73.918419,10764,8846,7
2020-03-14,47-50 ST-ROCK,40.758652,-73.981311,25896,33429,BDFM
2020-03-14,49 ST-7 AVE,40.760139,-73.984112,21624,23100,NQR
2020-03-14,5 AVE-53 ST,40.760179,-73.975196,0,188,EM
2020-03-14,5 AVE-59 ST,40.764909,-73.973372,9182,8566,NQR
2020-03-14,5 AVE-BRYANT PK,40.753824,-73.981966,4642,4874,7BDFM
2020-03-14,50 ST,40.636232,-73.994765,821,765,D
2020-03-14,50 ST,40.761675,-73.983908,10168,11478,1
2020-03-14,50 ST,40.762439,-73.985989,58,92,CE
2020-03-14,51 ST,40.757108,-73.971870,10383,13848,6
2020-03-14,52 ST-LINCOLN,40.744103,-73.912497,2562,2263,7
2020-03-14,53 ST,40.644959,-74.014034,3767,4028,R
2020-03-14,55 ST,40.631412,-73.995473,482,215,D
2020-03-14,57 ST,40.763625,-73.977449,3684,3909,F
2020-03-14,57 ST-7 AVE,40.764755,-73.980646,17026,15246,NQR
2020-03-14,59 ST,40.641426,-74.017972,8524,4942,NR
2020-03-14,59 ST,40.762796,-73.967686,26308,30344,456NQR
2020-03-14,59 ST-COLUMBUS,40.768110,-73.981891,49359,49410,1ABCD
2020-03-14,6 AVE,40.737348,-73.996900,7283,11275,FLM123
2020-03-14,61 ST/WOODSIDE,40.745623,-73.902969,6940,7006,7
2020-03-14,63 DR-REGO PARK,40.729869,-73.861610,9716,5016,MR
2020-03-14,65 ST,40.749663,-73.898485,1318,910,MR
2020-03-14,66 ST-LINCOLN,40.773424,-73.982234,11211,13800,1
2020-03-14,67 AVE,40.726462,-73.852630,4432,2232,MR
2020-03-14,68ST-HUNTER COL,40.768143,-73.964016,3199,3614,6
2020-03-14,69 ST-FISK AVE,40.746325,-73.896403,2531,2840,7
2020-03-14,7 AV-PARK SLOPE,40.666276,-73.980324,2767,1676,FG
2020-03-14,7 AVE,40.677172,-73.972514,2153,2403,BQ
2020-03-14,7 AVE-53 ST,40.762877,-73.981590,5382,9946,BDE
2020-03-14,71 ST,40.619588,-73.998842,2083,608,D
2020-03-14,72 ST,40.775545,-73.976398,1829,1660,BC
2020-03-14,72 ST,40.778575,-73.981912,20792,24608,123
2020-03-14,72 ST-2 AVE,40.784318,-73.947152,6117,5574,Q
2020-03-14,74 ST-BROADWAY,40.746655,-73.891361,22231,20203,EFMR7
2020-03-14,75 AVE,40.718477,-73.837223,507,277,EF
2020-03-14,77 ST,40.629702,-74.025514,1608,721,R
2020-03-14,77 ST,40.773636,-73.959875,10178,12624,6
2020-03-14,79 ST,40.613513,-74.000645,2130,618,D
2020-03-14,79 ST,40.783872,-73.979938,6750,4968,1
2020-03-14,8 AVE,40.635011,-74.011717,3764,3734,N
2020-03-14,8 AVE,40.740388,-74.002104,3570,3019,ACEL
2020-03-14,8 ST-B'WAY NYU,40.730348,-73.992705,6792,6860,NR
2020-03-14,81 ST-MUSEUM,40.781435,-73.972149,3768,3140,BC
2020-03-14,82 ST-JACKSON H,40.747647,-73.883786,6751,5685,7
2020-03-14,86 ST,40.592676,-73.978243,4,18,N
2020-03-14,86 ST,40.622715,-74.028368,6960,5888,R
2020-03-14,86 ST,40.779485,-73.955541,19526,22514,456
2020-03-14,86 ST,40.785822,-73.968952,3634,3866,BC
2020-03-14,86 ST,40.788844,-73.975990,12504,15513,1
2020-03-14,86 ST-2 AVE,40.777891,-73.951787,6351,5172,Q
2020-03-14,9 AVE,40.646343,-73.994551,2237,1898,D
2020-03-14,9 ST,40.670320,-73.988757,3412,3961,DFGMNR
2020-03-14,90 ST-ELMHURST,40.748541,-73.876791,7678,4743,7
2020-03-14,96 ST,40.785822,-73.950970,3733,1794,6
2020-03-14,96 ST,40.791654,-73.964682,3932,4080,BC
2020-03-14,96 ST,40.793880,-73.972363,20472,23748,123
2020-03-14,96 ST-2 AVE,40.768799,-73.958424,5156,3888,Q
2020-03-14,ALABAMA AVE,40.677107,-73.898871,969,1179,J
2020-03-14,ALLERTON AVE,40.865481,-73.867393,2381,1110,25
2020-03-14,AQUEDUCT TRACK,40.668221,-73.834026,661,98,A
2020-03-14,AQUEDUCT-N CNDT,40.668234,-73.834058,228,732,A
2020-03-14,ASTOR PLACE,40.730056,-73.991042,7418,11552,6
2020-03-14,ATLANTIC AVE,40.675496,-73.902819,533,232,L
2020-03-14,ATLANTIC AVE,40.684063,-73.977417,37551,44091,2345BDNQR
2020-03-14,AVE H,40.629164,-73.961678,937,822,BQ
2020-03-14,AVE I,40.625305,-73.975732,615,351,F
2020-03-14,AVE J,40.625028,-73.960819,1872,969,BQ
2020-03-14,AVE M,40.617568,-73.959360,1428,610,BQ
2020-03-14,AVE N,40.615174,-73.974166,2056,686,F
2020-03-14,AVE P,40.609147,-73.972986,939,345,F
2020-03-14,AVE U,40.596065,-73.973329,776,254,F
2020-03-14,AVE U,40.597482,-73.979359,8,14,N
2020-03-14,AVE U,40.599307,-73.955916,2818,1103,BQ
2020-03-14,AVE X,40.589547,-73.974295,1066,547,F
2020-03-14,BAY 50 ST,40.588879,-73.983629,1039,180,D
2020-03-14,BAY PARKWAY,40.601898,-73.993821,3029,2811,D
2020-03-14,BAY PKY-22 AVE,40.612006,-73.982009,5084,2950,N
2020-03-14,BAY RIDGE AVE,40.634945,-74.023411,2701,1686,R
2020-03-14,BAY RIDGE-95 ST,40.616624,-74.030964,3440,2150,R
2020-03-14,BAYCHESTER AVE,40.878656,-73.838596,902,325,5
2020-03-14,BEACH 105 ST,40.583542,-73.826430,43,87,AS
2020-03-14,BEACH 25 ST,40.600138,-73.761520,600,672,A
2020-03-14,BEACH 36 ST,40.595381,-73.768194,365,419,A
2020-03-14,BEACH 44 ST,40.593214,-73.776433,299,325,A
2020-03-14,BEACH 60 ST,40.592334,-73.788493,828,627,A
2020-03-14,BEACH 67 ST,40.590867,-73.797011,900,696,A
2020-03-14,BEACH 90 ST,40.588032,-73.813684,300,345,AS
2020-03-14,BEACH 98 ST,40.585514,-73.820143,131,142,AS
2020-03-14,BEDFORD AVE,40.717241,-73.956614,5671,4205,L
2020-03-14,BEDFORD PARK BL,40.873026,-73.886919,5108,2844,BD
2020-03-14,BEDFORD PARK BL,40.873399,-73.890084,1761,1788,4
2020-03-14,BEDFORD/NOSTRAN,40.689636,-73.953459,5518,3634,G
2020-03-14,BEEBE-39 AVE,40.753076,-73.932710,1107,997,NQ
2020-03-14,BERGEN ST,40.680801,-73.975132,2118,2234,23
2020-03-14,BERGEN ST,40.686154,-73.990881,9801,8520,FG
2020-03-14,BEVERLEY ROAD,40.643982,-73.964510,1148,1104,BQ
2020-03-14,BEVERLY ROAD,40.645089,-73.948975,1581,391,25
2020-03-14,BLEECKER ST,40.725665,-73.995645,4074,2361,6DF
2020-03-14,BOROUGH HALL/CT,40.692404,-73.990151,21676,21076,2345R
2020-03-14,BOTANIC GARDEN,40.670499,-73.958759,364,777,S2345
2020-03-14,BOWERY,40.720315,-73.994014,1577,1761,JZ
2020-03-14,BOWLING GREEN,40.704782,-74.014099,7028,6839,45
2020-03-14,BOYD-88 ST,40.679857,-73.851492,915,390,A
2020-03-14,BRIGHTON BEACH,40.577961,-73.961806,9240,8682,BQ
2020-03-14,BROAD CHANNEL,40.608693,-73.816068,65,45,AS
2020-03-14,BROAD ST,40.706539,-74.011052,3342,2094,JZ
2020-03-14,BROADWAY,40.706100,-73.950348,2186,1947,G
2020-03-14,BROADWAY-31 ST,40.761959,-73.925382,3782,3500,NQ
2020-03-14,BROADWAY-ENY,40.678848,-73.904139,3871,3086,ACJLZ
2020-03-14,BROADWAY/LAFAY,40.725297,-73.996204,12028,19820,BDFQ6
2020-03-14,BRONX PARK EAST,40.848797,-73.868465,983,479,25
