DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-01-18,1 AVE,40.730901,-73.981719,10418,12122,L
2020-01-18,103 ST,40.790582,-73.947473,5248,5104,6
2020-01-18,103 ST,40.796105,-73.961399,2301,1506,BC
2020-01-18,103 ST,40.799354,-73.968329,6423,3173,1
2020-01-18,103 ST-CORONA,40.749858,-73.862672,12585,9379,7
2020-01-18,104 ST,40.695184,-73.844326,1123,602,JZ
2020-01-18,110 ST,40.795066,-73.944297,9956,9360,6
2020-01-18,110 ST-CATHEDRL,40.804032,-73.966742,11850,5770,1
2020-01-18,110 ST-CPN,40.799110,-73.951807,4333,4370,23
2020-01-18,111 ST,40.697405,-73.836354,957,490,J
2020-01-18,111 ST,40.751760,-73.855183,7075,4689,7
2020-01-18,116 ST,40.798574,-73.941593,13708,9526,6
2020-01-18,116 ST,40.802098,-73.949625,10778,5698,23
2020-01-18,116 ST,40.805072,-73.954833,7146,5284,BC
2020-01-18,116 ST-COLUMBIA,40.808190,-73.964124,4565,2539,1
2020-01-18,121 ST,40.700536,-73.828382,1005,726,JZ
2020-01-18,125 ST,40.804406,-73.937452,10510,11057,456
2020-01-18,125 ST,40.808076,-73.945906,12716,6374,23
2020-01-18,125 ST,40.811056,-73.952386,30322,29722,ACBD
2020-01-18,125 ST,40.815596,-73.958395,3759,3828,1
2020-01-18,135 ST,40.814459,-73.940992,15772,5720,23
2020-01-18,135 ST,40.817902,-73.947644,6927,4995,BC
2020-01-18,137 ST-CITY COL,40.821994,-73.953674,21502,22138,1
2020-01-18,138 ST-3 AVE,40.810512,-73.926165,2841,1666,6
2020-01-18,138 ST-GR CONC,40.813208,-73.929877,869,900,45
2020-01-18,14 ST,40.738007,-73.998381,22172,15154,123FLM
2020-01-18,14 ST,40.740388,-74.002104,19054,17268,ACEL
2020-01-18,14 ST-6 AVE,40.737348,-73.996900,38788,53356,FLM123
2020-01-18,14 ST-UNION SQ,40.734836,-73.990688,238398,269058,LNQR456
2020-01-18,145 ST,40.820402,-73.936315,1745,169,3
2020-01-18,145 ST,40.824787,-73.944232,28712,25698,ABCD
2020-01-18,145 ST,40.826426,-73.950412,34,68,1
2020-01-18,148 ST-LENOX,40.823877,-73.936443,2008,1898,3
2020-01-18,149 ST-3 AVE,40.816132,-73.917754,19412,8240,25
2020-01-18,149 ST-GR CONC,40.818429,-73.926927,9800,6674,245
2020-01-18,15 ST-PROSPECT,40.660376,-73.979509,6528,4290,FG
2020-01-18,155 ST,40.829934,-73.938632,1825,1123,BD
2020-01-18,155 ST,40.830551,-73.941486,2196,1579,C
2020-01-18,157 ST,40.833879,-73.944726,218,288,1
2020-01-18,161 ST-YANKEE,40.827888,-73.925736,52542,30174,BD4
2020-01-18,163 ST-AMSTERDM,40.835957,-73.939898,3164,2782,C
2020-01-18,167 ST,40.833773,-73.918430,8070,2932,BD
2020-01-18,167 ST,40.835535,-73.921380,4273,4542,4
2020-01-18,168 ST-BROADWAY,40.840778,-73.940091,32736,18612,1AC
2020-01-18,169 ST,40.710459,-73.793600,6952,5680,F
2020-01-18,170 ST,40.839301,-73.913355,6714,3992,BD
2020-01-18,170 ST,40.840048,-73.917775,4142,3094,4
2020-01-18,174 ST,40.837382,-73.887659,5216,5556,25
