DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF
2020-02-08,1 AVE,40.730901,-73.981719,13144,15500
2020-02-08,103 ST,40.790582,-73.947473,6152,6360
2020-02-08,103 ST,40.796105,-73.961399,2637,1697
2020-02-08,103 ST,40.799354,-73.968329,7017,3337
2020-02-08,103 ST-CORONA,40.749858,-73.862672,13527,8972
2020-02-08,104 ST,40.695184,-73.844326,1395,690
2020-02-08,110 ST,40.795066,-73.944297,12354,11614
2020-02-08,110 ST-CATHEDRL,40.804032,-73.966742,13712,7064
2020-02-08,110 ST-CPN,40.799110,-73.951807,5280,5259
2020-02-08,111 ST,40.697405,-73.836354,1210,634
2020-02-08,111 ST,40.751760,-73.855183,27713,2715
2020-02-08,116 ST,40.798574,-73.941593,16552,10628
2020-02-08,116 ST,40.802098,-73.949625,12410,6362
2020-02-08,116 ST,40.805072,-73.954833,7928,5880
2020-02-08,116 ST-COLUMBIA,40.808190,-73.964124,7100,3518
2020-02-08,121 ST,40.700536,-73.828382,1203,831
2020-02-08,125 ST,40.804406,-73.937452,12171,12854
2020-02-08,125 ST,40.808076,-73.945906,14500,7400
2020-02-08,125 ST,40.811056,-73.952386,36054,36348
2020-02-08,125 ST,40.815596,-73.958395,4308,4230
2020-02-08,135 ST,40.814459,-73.940992,17308,6310
2020-02-08,135 ST,40.817902,-73.947644,7533,5349
2020-02-08,137 ST-CITY COL,40.821994,-73.953674,25436,23320
2020-02-08,138 ST-3 AVE,40.810512,-73.926165,5077,1846
2020-02-08,138 ST-GR CONC,40.813208,-73.929877,1247,1034
2020-02-08,14 ST,40.738007,-73.998381,26526,17708
2020-02-08,14 ST,40.740388,-74.002104,22502,23837
2020-02-08,14 ST-6 AVE,40.737348,-73.996900,50604,67048
2020-02-08,14 ST-UNION SQ,40.734836,-73.990688,282780,306942
2020-02-08,145 ST,40.820402,-73.936315,2048,262
2020-02-08,145 ST,40.824787,-73.944232,33498,30798
2020-02-08,145 ST,40.826426,-73.950412,124,212
2020-02-08,148 ST-LENOX,40.823877,-73.936443,2268,2155
2020-02-08,149 ST-3 AVE,40.816132,-73.917754,23834,9676
2020-02-08,149 ST-GR CONC,40.818429,-73.926927,12638,8408
2020-02-08,15 ST-PROSPECT,40.660376,-73.979509,8380,5328
2020-02-08,155 ST,40.829934,-73.938632,2061,1152
2020-02-08,155 ST,40.830551,-73.941486,2409,1675
2020-02-08,157 ST,40.833879,-73.944726,42,58
2020-02-08,161 ST-YANKEE,40.827888,-73.925736,65052,36204
2020-02-08,163 ST-AMSTERDM,40.835957,-73.939898,3370,2815
2020-02-08,167 ST,40.833773,-73.918430,9018,3474
2020-02-08,167 ST,40.835535,-73.921380,5150,5444
2020-02-08,168 ST-BROADWAY,40.840778,-73.940091,45540,24390
2020-02-08,169 ST,40.710459,-73.793600,8928,7318
2020-02-08,170 ST,40.839301,-73.913355,7500,4310
2020-02-08,170 ST,40.840048,-73.917775,5038,3887
2020-02-08,174 ST,40.837382,-73.887659,6092,6444
2020-02-08,174-175 ST,40.845892,-73.910136,5616,3138
2020-02-08,175 ST,40.847369,-73.939683,16960,10126
2020-02-08,176 ST,40.848635,-73.912497,3301,2210
2020-02-08,18 AVE,40.607958,-74.001782,3711,935
2020-02-08,18 AVE,40.620728,-73.990388,2302,1919
2020-02-08,18 AVE,40.629881,-73.977149,4822,3480
2020-02-08,18 ST,40.741096,-73.997877,7598,5774
2020-02-08,181 ST,40.849495,-73.933632,2,0
2020-02-08,181 ST,40.851686,-73.937967,15696,12434
2020-02-08,182-183 ST,40.856085,-73.900695,2093,1209
2020-02-08,183 ST,40.858389,-73.903828,3575,2054
2020-02-08,190 ST,40.859022,-73.934190,2253,467
2020-02-08,191 ST,40.855176,-73.929384,0,2
2020-02-08,2 AVE,40.723291,-73.989873,24482,27952
2020-02-08,20 AVE,40.604798,-73.998456,3155,926
2020-02-08,20 AVE,40.617373,-73.985088,2036,1522
2020-02-08,207 ST,40.864653,-73.918719,1154,247
2020-02-08,21 ST,40.754100,-73.942580,4716,2355
2020-02-08,215 ST,40.869359,-73.915329,728,1430
2020-02-08,219 ST,40.883767,-73.862736,1655,1044
2020-02-08,22 AVE-BAY PKY,40.620907,-73.975453,864,320
2020-02-08,225 ST,40.887887,-73.860505,1568,914
2020-02-08,23 ST,40.740088,-73.986429,40644,40916
2020-02-08,23 ST,40.744071,-73.995624,15826,14752
2020-02-08,23 ST,40.745924,-73.998005,22566,16470
2020-02-08,23 ST-5 AVE,40.741006,-73.989315,21108,12444
2020-02-08,23 ST-6 AVE,40.742868,-73.992770,7743,7314
2020-02-08,23 ST-6 AVE,40.742981,-73.992727,7057,7782
