DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-02-01,1 AVE,40.730901,-73.981719,12838,15028,L
2020-02-01,103 ST,40.790582,-73.947473,5752,5590,6
2020-02-01,103 ST,40.796105,-73.961399,2227,1449,BC
2020-02-01,103 ST,40.799354,-73.968329,7188,3696,1
2020-02-01,103 ST-CORONA,40.749858,-73.862672,13516,8557,7
2020-02-01,104 ST,40.695184,-73.844326,1317,612,JZ
2020-02-01,110 ST,40.795066,-73.944297,11752,10730,6
2020-02-01,110 ST-CATHEDRL,40.804032,-73.966742,14836,8366,1
2020-02-01,110 ST-CPN,40.799110,-73.951807,5195,5258,23
2020-02-01,111 ST,40.697405,-73.836354,1147,589,J
2020-02-01,111 ST,40.751760,-73.855183,26707,4363,7
2020-02-01,116 ST,40.798574,-73.941593,15878,10184,6
2020-02-01,116 ST,40.802098,-73.949625,12266,6670,23
2020-02-01,116 ST,40.805072,-73.954833,7428,5500,BC
2020-02-01,116 ST-COLUMBIA,40.808190,-73.964124,7063,3521,1
2020-02-01,121 ST,40.700536,-73.828382,1218,776,JZ
2020-02-01,125 ST,40.804406,-73.937452,11671,12497,456
2020-02-01,125 ST,40.808076,-73.945906,14006,7378,23
2020-02-01,125 ST,40.811056,-73.952386,34204,34324,ACBD
2020-02-01,125 ST,40.815596,-73.958395,4794,4967,1
2020-02-01,135 ST,40.814459,-73.940992,16006,5942,23
2020-02-01,135 ST,40.817902,-73.947644,7518,4872,BC
2020-02-01,137 ST-CITY COL,40.821994,-73.953674,14376,11438,1
2020-02-01,138 ST-3 AVE,40.810512,-73.926165,3460,1837,6
2020-02-01,138 ST-GR CONC,40.813208,-73.929877,941,1019,45
2020-02-01,14 ST,40.738007,-73.998381,28104,18672,123FLM
2020-02-01,14 ST,40.740388,-74.002104,16382298,9259686,ACEL
2020-02-01,14 ST-6 AVE,40.737348,-73.996900,45020,62732,FLM123
2020-02-01,14 ST-UNION SQ,40.734836,-73.990688,297366,335142,LNQR456
2020-02-01,145 ST,40.820402,-73.936315,1887,237,3
2020-02-01,145 ST,40.824787,-73.944232,29570,27458,ABCD
2020-02-01,145 ST,40.826426,-73.950412,13232,10376,1
2020-02-01,148 ST-LENOX,40.823877,-73.936443,2210,2115,3
2020-02-01,149 ST-3 AVE,40.816132,-73.917754,22524,9540,25
2020-02-01,149 ST-GR CONC,40.818429,-73.926927,12542,8544,245
2020-02-01,15 ST-PROSPECT,40.660376,-73.979509,6978,4322,FG
2020-02-01,155 ST,40.829934,-73.938632,1944,1143,BD
2020-02-01,155 ST,40.830551,-73.941486,1642,1183,C
2020-02-01,157 ST,40.833879,-73.944726,12524,8268,1
2020-02-01,161 ST-YANKEE,40.827888,-73.925736,63528,34932,BD4
2020-02-01,163 ST-AMSTERDM,40.835957,-73.939898,2726,2317,C
2020-02-01,167 ST,40.833773,-73.918430,8822,3888,BD
2020-02-01,167 ST,40.835535,-73.921380,4991,5338,4
2020-02-01,168 ST-BROADWAY,40.840778,-73.940091,34740,20862,1AC
2020-02-01,169 ST,40.710459,-73.793600,8594,6904,F
2020-02-01,170 ST,40.839301,-73.913355,7302,4104,BD
2020-02-01,170 ST,40.840048,-73.917775,4872,3898,4
2020-02-01,174 ST,40.837382,-73.887659,5832,6548,25
2020-02-01,174-175 ST,40.845892,-73.910136,5652,3014,BD
2020-02-01,175 ST,40.847369,-73.939683,15246,8584,A
2020-02-01,176 ST,40.848635,-73.912497,3242,2050,4
2020-02-01,18 AVE,40.607958,-74.001782,3546,880,D
2020-02-01,18 AVE,40.620728,-73.990388,2324,1828,N
2020-02-01,18 AVE,40.629881,-73.977149,3382,2562,F
2020-02-01,18 ST,40.741096,-73.997877,7916,6016,1
2020-02-01,181 ST,40.849495,-73.933632,8527,8601,1
2020-02-01,181 ST,40.851686,-73.937967,12186,9234,A
2020-02-01,182-183 ST,40.856085,-73.900695,2045,1035,BD
2020-02-01,183 ST,40.858389,-73.903828,3346,1934,4
2020-02-01,190 ST,40.859022,-73.934190,1693,389,A
2020-02-01,191 ST,40.855176,-73.929384,1063,2185,1
2020-02-01,2 AVE,40.723291,-73.989873,23668,25894,F
2020-02-01,20 AVE,40.604798,-73.998456,3088,805,D
2020-02-01,20 AVE,40.617373,-73.985088,1992,1560,N
2020-02-01,207 ST,40.864653,-73.918719,3708,1782,1
2020-02-01,21 ST,40.754100,-73.942580,6399,6350,F
2020-02-01,215 ST,40.869359,-73.915329,928,393,1
2020-02-01,219 ST,40.883767,-73.862736,1625,1024,25
2020-02-01,22 AVE-BAY PKY,40.620907,-73.975453,503,173,F
2020-02-01,225 ST,40.887887,-73.860505,1553,874,25
2020-02-01,23 ST,40.740088,-73.986429,39468,38024,6
2020-02-01,23 ST,40.744071,-73.995624,15444,14260,1
2020-02-01,23 ST,40.745924,-73.998005,28743,20937,CE
2020-02-01,23 ST-5 AVE,40.741006,-73.989315,8174,7300,NR
2020-02-01,23 ST-6 AVE,40.742868,-73.992770,8940,7693,FM
2020-02-01,23 ST-6 AVE,40.742981,-73.992727,5822,8280,FM
2020-02-01,231 ST,40.878867,-73.904858,4949,723,1
2020-02-01,233 ST,40.893386,-73.857265,2589,905,25
2020-02-01,238 ST,40.884821,-73.900759,2021,204,1
2020-02-01,242 ST,40.889185,-73.898549,3481,1686,1
2020-02-01,25 AVE,40.597873,-73.986955,2613,548,D
2020-02-01,25 ST,40.660430,-73.997944,447,1186,R
2020-02-01,25 ST,40.660481,-73.998059,1690,683,R
2020-02-01,28 ST,40.743095,-73.984251,21138,24519,6
2020-02-01,28 ST,40.747224,-73.993360,11628,9408,1
2020-02-01,28 ST-BROADWAY,40.745574,-73.988682,5678,10488,NR
2020-02-01,3 AVE,40.733243,-73.987169,5146,4980,L
2020-02-01,33 ST,40.746119,-73.981826,36968,35380,6
2020-02-01,33 ST/RAWSON ST,40.744558,-73.930993,4874,4876,7
2020-02-01,34 ST-HERALD SQ,40.749533,-73.987899,143540,158120,BDFMNQR
2020-02-01,34 ST-HUDSON YD,40.755882,-74.001910,10825,11900,7
2020-02-01,34 ST-PENN STA,40.750264,-73.992984,42994,37190,123ACE
2020-02-01,34 ST-PENN STA,40.750329,-73.991096,46292,65696,123
2020-02-01,34 ST-PENN STA,40.752247,-73.993456,130315,130549,ACE
2020-02-01,36 ST,40.655150,-74.003477,7392,5611,DNR
2020-02-01,36 ST,40.752020,-73.928740,2840,2224,MR
2020-02-01,4 AVE,40.670320,-73.988757,7453,7115,DFGMNR
2020-02-01,40 ST-LOWERY ST,40.743778,-73.923998,5434,4633,7
2020-02-01,42 ST-BRYANT PK,40.754198,-73.984573,45489,67209,BDFM7
2020-02-01,42 ST-GRD CNTRL,40.751849,-73.976945,108038,110206,4567S
2020-02-01,42 ST-PA BUS TE,40.757303,-73.989787,103322,104849,ACENQRS1237
2020-02-01,42 ST-TIMES SQ,40.755905,-73.986504,207261,234266,1237ACENQRS
2020-02-01,45 ST,40.648866,-74.010086,4546,2532,R
2020-02-01,46 ST,40.756312,-73.913333,12093,9276,MR
2020-02-01,46 ST-BLISS ST,40.743079,-73.918419,16050,12256,7
2020-02-01,47-50 ST-ROCK,40.758652,-73.981311,51819,67047,BDFM
2020-02-01,49 ST-7 AVE,40.760139,-73.984112,31036,20076,NQR
