DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-03-07,1 AVE,40.730901,-73.981719,11528,16024,L
2020-03-07,103 ST,40.790582,-73.947473,6039,5978,6
2020-03-07,103 ST,40.796105,-73.961399,2330,1641,BC
2020-03-07,103 ST,40.799354,-73.968329,6469,3626,1
2020-03-07,103 ST-CORONA,40.749858,-73.862672,13355,8994,7
2020-03-07,104 ST,40.695184,-73.844326,1353,589,JZ
2020-03-07,110 ST,40.795066,-73.944297,11654,11034,6
2020-03-07,110 ST-CATHEDRL,40.804032,-73.966742,12308,7566,1
2020-03-07,110 ST-CPN,40.799110,-73.951807,4937,5022,23
2020-03-07,111 ST,40.697405,-73.836354,1249,612,J
2020-03-07,111 ST,40.751760,-73.855183,25629,3804,7
2020-03-07,116 ST,40.798574,-73.941593,16450,10036,6
2020-03-07,116 ST,40.802098,-73.949625,11938,6558,23
2020-03-07,116 ST,40.805072,-73.954833,7918,6224,BC
2020-03-07,116 ST-COLUMBIA,40.808190,-73.964124,5851,3756,1
2020-03-07,121 ST,40.700536,-73.828382,1232,744,JZ
2020-03-07,125 ST,40.804406,-73.937452,11881,12726,456
2020-03-07,125 ST,40.808076,-73.945906,14138,7854,23
2020-03-07,125 ST,40.811056,-73.952386,33504,32560,ACBD
2020-03-07,125 ST,40.815596,-73.958395,4298,4648,1
2020-03-07,135 ST,40.814459,-73.940992,16224,5866,23
2020-03-07,135 ST,40.817902,-73.947644,7056,4908,BC
2020-03-07,137 ST-CITY COL,40.821994,-73.953674,14294,11696,1
2020-03-07,138 ST-3 AVE,40.810512,-73.926165,3276,1826,6
2020-03-07,138 ST-GR CONC,40.813208,-73.929877,867,756,45
2020-03-07,14 ST,40.738007,-73.998381,25518,17178,123FLM
2020-03-07,14 ST,40.740388,-74.002104,18771,19037,ACEL
2020-03-07,14 ST-6 AVE,40.737348,-73.996900,44492,58212,FLM123
2020-03-07,14 ST-UNION SQ,40.734836,-73.990688,269634,311928,LNQR456
2020-03-07,145 ST,40.820402,-73.936315,1999,272,3
2020-03-07,145 ST,40.824787,-73.944232,29328,26882,ABCD
2020-03-07,145 ST,40.826426,-73.950412,12074,10088,1
2020-03-07,148 ST-LENOX,40.823877,-73.936443,2220,2314,3
2020-03-07,149 ST-3 AVE,40.816132,-73.917754,22074,10884,25
2020-03-07,149 ST-GR CONC,40.818429,-73.926927,13412,12612,245
2020-03-07,15 ST-PROSPECT,40.660376,-73.979509,6910,4782,FG
2020-03-07,155 ST,40.829934,-73.938632,1978,1204,BD
2020-03-07,155 ST,40.830551,-73.941486,1591,1229,C
2020-03-07,157 ST,40.833879,-73.944726,11818,8496,1
2020-03-07,161 ST-YANKEE,40.827888,-73.925736,65466,36666,BD4
2020-03-07,163 ST-AMSTERDM,40.835957,-73.939898,2764,2289,C
2020-03-07,167 ST,40.833773,-73.918430,8402,3354,BD
2020-03-07,167 ST,40.835535,-73.921380,5399,5655,4
