DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-02-29,1 AVE,40.730901,-73.981719,12000,16010,L
2020-02-29,103 ST,40.790582,-73.947473,6434,6487,6
2020-02-29,103 ST,40.796105,-73.961399,2361,1985,BC
2020-02-29,103 ST,40.799354,-73.968329,6855,3303,1
2020-02-29,103 ST-CORONA,40.749858,-73.862672,13161,8951,7
2020-02-29,104 ST,40.695184,-73.844326,1307,626,JZ
2020-02-29,110 ST,40.795066,-73.944297,12190,11040,6
2020-02-29,110 ST-CATHEDRL,40.804032,-73.966742,12948,6680,1
2020-02-29,110 ST-CPN,40.799110,-73.951807,4965,4703,23
2020-02-29,111 ST,40.697405,-73.836354,1139,636,J
2020-02-29,111 ST,40.751760,-73.855183,26616,3311,7
2020-02-29,116 ST,40.798574,-73.941593,16438,10442,6
2020-02-29,116 ST,40.802098,-73.949625,11894,5954,23
2020-02-29,116 ST,40.805072,-73.954833,7326,5230,BC
2020-02-29,116 ST-COLUMBIA,40.808190,-73.964124,6615,3651,1
2020-02-29,121 ST,40.700536,-73.828382,1128,692,JZ
2020-02-29,125 ST,40.804406,-73.937452,12221,12801,456
2020-02-29,125 ST,40.808076,-73.945906,14714,7512,23
2020-02-29,125 ST,40.811056,-73.952386,36172,36604,ACBD
2020-02-29,125 ST,40.815596,-73.958395,3899,4066,1
2020-02-29,135 ST,40.814459,-73.940992,16572,5714,23
2020-02-29,135 ST,40.817902,-73.947644,7731,4908,BC
2020-02-29,137 ST-CITY COL,40.821994,-73.953674,24942,21182,1
2020-02-29,138 ST-3 AVE,40.810512,-73.926165,3311,1831,6
2020-02-29,138 ST-GR CONC,40.813208,-73.929877,957,730,45
2020-02-29,14 ST,40.738007,-73.998381,25812,17266,123FLM
2020-02-29,14 ST,40.740388,-74.002104,20037,19732,ACEL
2020-02-29,14 ST-6 AVE,40.737348,-73.996900,49272,72148,FLM123
2020-02-29,14 ST-UNION SQ,40.734836,-73.990688,265596,294042,LNQR456
2020-02-29,145 ST,40.820402,-73.936315,2160,220,3
2020-02-29,145 ST,40.824787,-73.944232,34370,32208,ABCD
2020-02-29,145 ST,40.826426,-73.950412,66,298,1
2020-02-29,148 ST-LENOX,40.823877,-73.936443,2284,2069,3
2020-02-29,149 ST-3 AVE,40.816132,-73.917754,20076,8348,25
2020-02-29,149 ST-GR CONC,40.818429,-73.926927,14248,8968,245
2020-02-29,15 ST-PROSPECT,40.660376,-73.979509,7012,2078,FG
2020-02-29,155 ST,40.829934,-73.938632,2050,1143,BD
2020-02-29,155 ST,40.830551,-73.941486,1313,1613,C
2020-02-29,157 ST,40.833879,-73.944726,4,62,1
2020-02-29,161 ST-YANKEE,40.827888,-73.925736,65826,37362,BD4
2020-02-29,163 ST-AMSTERDM,40.835957,-73.939898,2154,3408,C
2020-02-29,167 ST,40.833773,-73.918430,9142,3518,BD
2020-02-29,167 ST,40.835535,-73.921380,5229,5431,4
2020-02-29,168 ST-BROADWAY,40.840778,-73.940091,40491,17982,1AC
2020-02-29,169 ST,40.710459,-73.793600,8332,6858,F
2020-02-29,170 ST,40.839301,-73.913355,7416,4136,BD
2020-02-29,170 ST,40.840048,-73.917775,5052,3972,4
2020-02-29,174 ST,40.837382,-73.887659,5546,6102,25
2020-02-29,174-175 ST,40.845892,-73.910136,5738,3016,BD
2020-02-29,175 ST,40.847369,-73.939683,16784,9658,A
2020-02-29,176 ST,40.848635,-73.912497,3332,2113,4
2020-02-29,18 AVE,40.607958,-74.001782,3625,965,D
2020-02-29,18 AVE,40.620728,-73.990388,2241,1926,N
2020-02-29,18 AVE,40.629881,-73.977149,5032,3504,F
2020-02-29,18 ST,40.741096,-73.997877,7060,5910,1
2020-02-29,181 ST,40.849495,-73.933632,1,18,1
2020-02-29,181 ST,40.851686,-73.937967,15792,12678,A
2020-02-29,182-183 ST,40.856085,-73.900695,2084,1106,BD
2020-02-29,183 ST,40.858389,-73.903828,3385,2068,4
2020-02-29,190 ST,40.859022,-73.934190,2218,495,A
2020-02-29,191 ST,40.855176,-73.929384,0,0,1
2020-02-29,2 AVE,40.723291,-73.989873,24898,27592,F
2020-02-29,20 AVE,40.604798,-73.998456,3084,871,D
2020-02-29,20 AVE,40.617373,-73.985088,1957,1484,N
2020-02-29,207 ST,40.864653,-73.918719,1020,173,1
2020-02-29,21 ST,40.754100,-73.942580,6577,6089,F
2020-02-29,215 ST,40.869359,-73.915329,622,1257,1
2020-02-29,219 ST,40.883767,-73.862736,1629,907,25
2020-02-29,22 AVE-BAY PKY,40.620907,-73.975453,929,306,F
2020-02-29,225 ST,40.887887,-73.860505,1580,885,25
2020-02-29,23 ST,40.740088,-73.986429,39540,39020,6
2020-02-29,23 ST,40.744071,-73.995624,14188,14154,1
2020-02-29,23 ST,40.745924,-73.998005,27789,20295,CE
2020-02-29,23 ST-5 AVE,40.741006,-73.989315,19708,10664,NR
2020-02-29,23 ST-6 AVE,40.742868,-73.992770,8229,8173,FM
2020-02-29,23 ST-6 AVE,40.742981,-73.992727,6223,8678,FM
2020-02-29,231 ST,40.878867,-73.904858,2332,388,1
2020-02-29,233 ST,40.893386,-73.857265,2678,857,25
2020-02-29,238 ST,40.884821,-73.900759,1164,162,1
2020-02-29,242 ST,40.889185,-73.898549,2158,793,1
2020-02-29,25 AVE,40.597873,-73.986955,2577,600,D
2020-02-29,25 ST,40.660430,-73.997944,1375,1219,R
2020-02-29,25 ST,40.660481,-73.998059,5,20,R
2020-02-29,28 ST,40.743095,-73.984251,22374,25233,6
2020-02-29,28 ST,40.747224,-73.993360,11774,9692,1
2020-02-29,28 ST-BROADWAY,40.745574,-73.988682,12372,16084,NR
2020-02-29,3 AVE,40.733243,-73.987169,4732,5040,L
2020-02-29,33 ST,40.746119,-73.981826,39064,36656,6
2020-02-29,33 ST/RAWSON ST,40.744558,-73.930993,5442,5360,7
2020-02-29,34 ST-HERALD SQ,40.749533,-73.987899,142674,161369,BDFMNQR
2020-02-29,34 ST-HUDSON YD,40.755882,-74.001910,10276,12343,7
2020-02-29,34 ST-PENN STA,40.750264,-73.992984,45100,40192,123ACE
2020-02-29,34 ST-PENN STA,40.750329,-73.991096,48144,72592,123
2020-02-29,34 ST-PENN STA,40.752247,-73.993456,145100,143343,ACE
2020-02-29,36 ST,40.655150,-74.003477,7434,5959,DNR
2020-02-29,36 ST,40.752020,-73.928740,2848,2134,MR
2020-02-29,4 AVE,40.670320,-73.988757,7678,5101,DFGMNR
2020-02-29,40 ST-LOWERY ST,40.743778,-73.923998,5613,4809,7
2020-02-29,42 ST-BRYANT PK,40.754198,-73.984573,48180,70416,BDFM7
2020-02-29,42 ST-GRD CNTRL,40.751849,-73.976945,105135,112446,4567S
2020-02-29,42 ST-PA BUS TE,40.757303,-73.989787,111176,116383,ACENQRS1237
2020-02-29,42 ST-TIMES SQ,40.755905,-73.986504,204033,229741,1237ACENQRS
2020-02-29,45 ST,40.648866,-74.010086,4538,2482,R
2020-02-29,46 ST,40.756312,-73.913333,12600,9219,MR
2020-02-29,46 ST-BLISS ST,40.743079,-73.918419,15696,12402,7
2020-02-29,47-50 ST-ROCK,40.758652,-73.981311,54843,71568,BDFM
2020-02-29,49 ST-7 AVE,40.760139,-73.984112,48372,39256,NQR
2020-02-29,5 AVE-53 ST,40.760179,-73.975196,4,54,EM
2020-02-29,5 AVE-59 ST,40.764909,-73.973372,12724,11030,NQR
2020-02-29,5 AVE-BRYANT PK,40.753824,-73.981966,10102,10304,7BDFM
2020-02-29,50 ST,40.636232,-73.994765,1275,1207,D
2020-02-29,50 ST,40.761675,-73.983908,23294,27194,1
2020-02-29,50 ST,40.762439,-73.985989,18462,13674,CE
2020-02-29,51 ST,40.757108,-73.971870,24882,30867,6
2020-02-29,52 ST-LINCOLN,40.744103,-73.912497,3691,3102,7
2020-02-29,53 ST,40.644959,-74.014034,5387,5164,R
2020-02-29,55 ST,40.631412,-73.995473,658,306,D
2020-02-29,57 ST,40.763625,-73.977449,11074,15753,F
2020-02-29,57 ST-7 AVE,40.764755,-73.980646,29110,19364,NQR
2020-02-29,59 ST,40.641426,-74.017972,12298,7018,NR
2020-02-29,59 ST,40.762796,-73.967686,52570,51870,456NQR
2020-02-29,59 ST-COLUMBUS,40.768110,-73.981891,109854,106287,1ABCD
2020-02-29,6 AVE,40.737348,-73.996900,12318,18037,FLM123
2020-02-29,61 ST/WOODSIDE,40.745623,-73.902969,8650,8002,7
2020-02-29,63 DR-REGO PARK,40.729869,-73.861610,15812,6950,MR
2020-02-29,65 ST,40.749663,-73.898485,1936,1173,MR
2020-02-29,66 ST-LINCOLN,40.773424,-73.982234,30615,37725,1
2020-02-29,67 AVE,40.726462,-73.852630,8054,3850,MR
2020-02-29,68ST-HUNTER COL,40.768143,-73.964016,7813,7495,6
2020-02-29,69 ST-FISK AVE,40.746325,-73.896403,3347,3577,7
2020-02-29,7 AV-PARK SLOPE,40.666276,-73.980324,6601,4555,FG
2020-02-29,7 AVE,40.677172,-73.972514,1,98,BQ
2020-02-29,7 AVE-53 ST,40.762877,-73.981590,9468,10506,BDE
2020-02-29,71 ST,40.619588,-73.998842,3153,1017,D
2020-02-29,72 ST,40.775545,-73.976398,3999,3998,BC
2020-02-29,72 ST,40.778575,-73.981912,38308,42292,123
2020-02-29,72 ST-2 AVE,40.784318,-73.947152,12004,8842,Q
2020-02-29,74 ST-BROADWAY,40.746655,-73.891361,33125,25783,EFMR7
2020-02-29,75 AVE,40.718477,-73.837223,1567,426,EF
2020-02-29,77 ST,40.629702,-74.025514,2819,1127,R
2020-02-29,77 ST,40.773636,-73.959875,21324,24468,6
2020-02-29,79 ST,40.613513,-74.000645,3500,899,D
2020-02-29,79 ST,40.783872,-73.979938,16602,8698,1
2020-02-29,8 AVE,40.635011,-74.011717,7821,8071,N
2020-02-29,8 AVE,40.740388,-74.002104,20037,19732,ACEL
2020-02-29,8 ST-B'WAY NYU,40.730348,-73.992705,21360,18614,NR
2020-02-29,81 ST-MUSEUM,40.781435,-73.972149,14150,13720,BC
2020-02-29,82 ST-JACKSON H,40.747647,-73.883786,10773,12671,7
2020-02-29,86 ST,40.592676,-73.978243,1656,1926,N
2020-02-29,86 ST,40.622715,-74.028368,11906,9180,R
2020-02-29,86 ST,40.779485,-73.955541,47820,53968,456
2020-02-29,86 ST,40.785822,-73.968952,9260,9768,BC
2020-02-29,86 ST,40.788844,-73.975990,26832,30291,1
2020-02-29,86 ST-2 AVE,40.777891,-73.951787,13973,8082,Q
2020-02-29,9 AVE,40.646343,-73.994551,3314,2918,D
2020-02-29,9 ST,40.670320,-73.988757,7678,5101,DFGMNR
2020-02-29,90 ST-ELMHURST,40.748541,-73.876791,10997,4744,7
2020-02-29,96 ST,40.785822,-73.950970,6896,2515,6
2020-02-29,96 ST,40.791654,-73.964682,8318,8258,BC
2020-02-29,96 ST,40.793880,-73.972363,37142,36004,123
2020-02-29,96 ST-2 AVE,40.768799,-73.958424,9098,5382,Q
2020-02-29,ALABAMA AVE,40.677107,-73.898871,1185,1354,J
2020-02-29,ALLERTON AVE,40.865481,-73.867393,3047,1485,25
2020-02-29,AQUEDUCT TRACK,40.668221,-73.834026,1470,186,A
2020-02-29,AQUEDUCT-N CNDT,40.668234,-73.834058,337,1267,A
2020-02-29,ASTOR PLACE,40.730056,-73.991042,17450,24606,6
2020-02-29,ATLANTIC AVE,40.675496,-73.902819,672,279,L
2020-02-29,ATLANTIC AVE,40.684063,-73.977417,103263,92457,2345BDNQR
2020-02-29,AVE H,40.629164,-73.961678,0,13,BQ
2020-02-29,AVE I,40.625305,-73.975732,609,348,F
2020-02-29,AVE J,40.625028,-73.960819,1,11,BQ
2020-02-29,AVE M,40.617568,-73.959360,3,20,BQ
2020-02-29,AVE N,40.615174,-73.974166,3234,1030,F
2020-02-29,AVE P,40.609147,-73.972986,1502,598,F
2020-02-29,AVE U,40.596065,-73.973329,1407,349,F
2020-02-29,AVE U,40.597482,-73.979359,3006,2220,N
2020-02-29,AVE U,40.599307,-73.955916,2129,1208,BQ
2020-02-29,AVE X,40.589547,-73.974295,1664,821,F
2020-02-29,BAY 50 ST,40.588879,-73.983629,1476,232,D
2020-02-29,BAY PARKWAY,40.601898,-73.993821,4367,3790,D
2020-02-29,BAY PKY-22 AVE,40.612006,-73.982009,7154,4962,N
2020-02-29,BAY RIDGE AVE,40.634945,-74.023411,4316,2751,R
2020-02-29,BAY RIDGE-95 ST,40.616624,-74.030964,5422,3362,R
2020-02-29,BAYCHESTER AVE,40.878656,-73.838596,13,78,5
2020-02-29,BEACH 105 ST,40.583542,-73.826430,75,116,AS
2020-02-29,BEACH 25 ST,40.600138,-73.761520,848,935,A
2020-02-29,BEACH 36 ST,40.595381,-73.768194,485,576,A
2020-02-29,BEACH 44 ST,40.593214,-73.776433,365,423,A
2020-02-29,BEACH 60 ST,40.592334,-73.788493,1078,823,A
2020-02-29,BEACH 67 ST,40.590867,-73.797011,1217,926,A
2020-02-29,BEACH 90 ST,40.588032,-73.813684,348,398,AS
2020-02-29,BEACH 98 ST,40.585514,-73.820143,177,200,AS
2020-02-29,BEDFORD AVE,40.717241,-73.956614,13907,8646,L
2020-02-29,BEDFORD PARK BL,40.873026,-73.886919,7048,4116,BD
2020-02-29,BEDFORD PARK BL,40.873399,-73.890084,2739,2516,4
2020-02-29,BEDFORD/NOSTRAN,40.689636,-73.953459,10876,6146,G
2020-02-29,BEEBE-39 AVE,40.753076,-73.932710,1835,1834,NQ
2020-02-29,BERGEN ST,40.680801,-73.975132,7000,5326,23
2020-02-29,BERGEN ST,40.686154,-73.990881,19071,16482,FG
2020-02-29,BEVERLEY ROAD,40.643982,-73.964510,1,5,BQ
2020-02-29,BEVERLY ROAD,40.645089,-73.948975,2610,621,25
2020-02-29,BLEECKER ST,40.725665,-73.995645,9665,4611,6DF
2020-02-29,BOROUGH HALL/CT,40.692404,-73.990151,45620,35260,2345R
2020-02-29,BOTANIC GARDEN,40.670499,-73.958759,563,1172,S2345
2020-02-29,BOWERY,40.720315,-73.994014,3253,3657,JZ
2020-02-29,BOWLING GREEN,40.704782,-74.014099,17437,15498,45
2020-02-29,BOYD-88 ST,40.679857,-73.851492,1245,490,A
2020-02-29,BRIGHTON BEACH,40.577961,-73.961806,9802,5768,BQ
2020-02-29,BROAD CHANNEL,40.608693,-73.816068,122,68,AS
2020-02-29,BROAD ST,40.706539,-74.011052,7359,3498,JZ
2020-02-29,BROADWAY,40.706100,-73.950348,3092,2677,G
2020-02-29,BROADWAY-31 ST,40.761959,-73.925382,7004,6032,NQ
2020-02-29,BROADWAY-ENY,40.678848,-73.904139,5412,5085,ACJLZ
2020-02-29,BROADWAY/LAFAY,40.725297,-73.996204,26300,45014,BDFQ6
2020-02-29,BRONX PARK EAST,40.848797,-73.868465,1177,558,25
