DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-04-18,1 AVE,40.730901,-73.981719,1014,2378,L
2020-04-18,103 ST,40.790582,-73.947473,1070,1544,6
2020-04-18,103 ST,40.796105,-73.961399,199,238,BC
2020-04-18,103 ST,40.799354,-73.968329,602,701,1
2020-04-18,103 ST-CORONA,40.749858,-73.862672,1646,1458,7
2020-04-18,104 ST,40.695184,-73.844326,184,94,JZ
2020-04-18,110 ST,40.795066,-73.944297,1618,2336,6
2020-04-18,110 ST-CATHEDRL,40.804032,-73.966742,1190,1454,1
2020-04-18,110 ST-CPN,40.799110,-73.951807,487,847,23
2020-04-18,111 ST,40.697405,-73.836354,131,86,J
2020-04-18,111 ST,40.751760,-73.855183,948,669,7
2020-04-18,116 ST,40.798574,-73.941593,2472,3314,6
2020-04-18,116 ST,40.802098,-73.949625,1360,1520,23
2020-04-18,116 ST,40.805072,-73.954833,744,1344,BC
2020-04-18,116 ST-COLUMBIA,40.808190,-73.964124,255,326,1
2020-04-18,121 ST,40.700536,-73.828382,155,124,JZ
2020-04-18,125 ST,40.804406,-73.937452,2556,4462,456
2020-04-18,125 ST,40.808076,-73.945906,1770,2052,23
2020-04-18,125 ST,40.811056,-73.952386,4134,5644,ACBD
2020-04-18,125 ST,40.815596,-73.958395,403,855,1
2020-04-18,135 ST,40.814459,-73.940992,2096,1636,23
2020-04-18,135 ST,40.817902,-73.947644,732,1224,BC
2020-04-18,137 ST-CITY COL,40.821994,-73.953674,1756,2548,1
2020-04-18,138 ST-3 AVE,40.810512,-73.926165,885,837,6
2020-04-18,138 ST-GR CONC,40.813208,-73.929877,332,384,45
2020-04-18,14 ST,40.738007,-73.998381,1576,1590,123FLM
2020-04-18,14 ST,40.740388,-74.002104,897,1118,ACEL
2020-04-18,14 ST-6 AVE,40.737348,-73.996900,1640,3828,FLM123
2020-04-18,14 ST-UNION SQ,40.734836,-73.990688,20358,28668,LNQR456
2020-04-18,145 ST,40.820402,-73.936315,4,3,3
